name_7022#0,"""カヌイ"""
name_7001#0,"""マノン"""
name_7026#0,"""ファリア"""
ssn_017020_0010#0,"""あなたも来てくれたのね。"""
ssn_017020_0020#0,"""こんにちは。"""
ssn_017020_0030#0,"""みなさん、来てくださって感謝します。"""
ssn_017020_0040#0,"""早速ですが、通信でお話したとおり、<br>相談に乗っていただきたいことがありまして……。"""
ssn_017020_0050#0,"""先日、私はルシエランが収集していた<br>データの回収の任にあたっていました。"""
ssn_017020_0060#0,"""そのデータの中にはアークスの戦闘記録をまとめていたものもあり、<br>戦闘能力や行動パターンなどが、事細かに記録されていました。"""
ssn_017020_0070#0,"""惑星ハルファに降下したすべての星渡りやアークスたちの、<br>非常に膨大なデータでした。"""
ssn_017020_0080#0,"""確認のために、目を通していたのですが……。"""
ssn_017020_0090#0,"""そこには、マノンやファリアの名前がありませんでした。"""
ssn_017020_0100#0,"""かつて、リサージェントアークスと呼ばれた、<br>記録する側の者のデータは、取る必要がなかったのでしょう。"""
ssn_017020_0110#0,"""しかし私は、同様に“データがない者”を見つけてしまったのです。"""
ssn_017020_0120#0,"""……“ヒバナ”。<br>10年前、ニルス・スティアとの戦いで命を落としたアークスです。"""
ssn_017020_0130#0,"""ヒバナ……。<br>グレンと、クロフォードの親友だった人物ね。"""
ssn_017020_0140#0,"""ええ。彼女の名前も<br>戦闘記録に書かれていなかったのです。"""
ssn_017020_0150#0,"""ここから想像できることは……。"""
ssn_017020_0160#0,"""彼女も、“記録する側”。<br>リサージェントアークスだった、ということでしょうか。"""
ssn_017020_0170#0,"""……信じがたいことではありますが。<br>それで、ルシエルにお詳しいあなたたちをお呼びしたのです。"""
ssn_017020_0180#0,"""このようなことは、即刻、隊長に報告するべきだとは承知の上です。"""
ssn_017020_0190#0,"""しかし、ヒバナは隊長にとっても大切な友人。<br>憶測で話すのはよろしくないと思いまして。"""
ssn_017020_0200#0,"""そう……。<br>賢明かもしれないわね。"""
ssn_017020_0210#0,"""ただ……。仮にヒバナがリサージェントアークスだったとしても<br>誰が隣で研究していたか、興味を抱くことなく活動していたわ。"""
ssn_017020_0220#0,"""そうですね。私たちが、研究者としている時期とも合致しないため、<br>見知ることもありません。"""
ssn_017020_0230#0,"""<%me>。<br>一度ルシエルに行って古いデータがないか、<br>確認してくれないかしら。"""
ssn_017020_0240#0,"""私たちは、ルシエランたちに<br>ヒバナを知っている人がいないか、聞いてみるわ。"""
ssn_017020_0250#0,"""わかった。"""
ssn_017020_0260#0,"""そっちは頼んだよ。"""
ssn_017020_0270#0,"""そうですね。<br>私からもぜひ、お願いします。"""
ssn_017020_0280#0,"""……まずはセントラルシティの研究者をあたりましょう。"""
ssn_017020_0290#0,"""あら、ファリア。積極的ね。"""
ssn_017020_0300#0,"""イルマから、もっと色々なことに興味を持ったほうが<br>研究者として世界が広がる、と助言されました。"""
ssn_017020_0310#0,"""だから、知りたくなったのです。<br>私の知らないリサージェントアークスの過去を。"""
ssn_017020_0320#0,"""お気をつけて。"""
