name01#0,"""Cofy"""
11_voice_NPC_5050_104#0,"""สวัสดีข้าชือ Cofy<%me>"""
text02#0,"""ขณะนี้มีคำสั่งภารกิจพิเศษ [AdvanceQuest]<br>สำหรับบุคคลากรชั้นสูงอย่างคุณ<%me>"""
text03#0,"""และภารกิจใหม่ที่เกี่ยวข้องกับ [AdvanceQuest]<br>ได้รับการสั่งการลงมาแล้ว"""
text04#0,"""หากท่านพอมีเวลา<br>กรุณามาติดต่อกับทางเราทันที<br>เราเตรียมทุกอย่างไว้ให้พร้อมแล้ว"""
text100#0,"""เกี่ยวกับ [AdvanceQuest]"""
text101#0,"""จะอธิบายเกี่ยวกับ [AdvanceQuest] ให้ฟัง<br><br>AdvanceQuest คือภารกิจพิเศษสำหรับ ARKS ระดับสูง<br>ซึ่งเป็นภารกิจที่จะมีศัตรูซึ่งแข็งแกร่งอย่างร้ายกาจปรากฏตัวขึ้น<br>และการจะลงไปปฏิบัติภารกิจ AdvanceQuest ได้นั้น<br>จำเป็นต้องใช้ไอเทมชื่อ Advance Capsule<br>ซึ่งคุณต้องใช้ Advance Capsule ที่ประตูเป็นการจ่ายค่าเข้าสู่ภารกิจ<br>ที่หน้า Telepool บน CampShip"""
text102#0,"""และเมื่อท่านผ่านภารกิจ AdvanceQuest ได้สำเร็จ<br>AdvanceRisk จะถูกนับเพิ่มขึ้น<br><br>เมื่อท่านลงสู่ AdvanceQuest รอบใหม่และเลือก Quest เดิม<br>โดยที่ AdvanceRisk ได้ถูกนับเพิ่มจนถึงระดับหนึ่ง<br>ความแข็งแกร่งของศัตรูใน Quest นั้นๆ จะถูกยกระดับขึ้น<br><br>และเมื่อถึงเวลาที่กำหนด AdvanceRisk จะของ Quest นั้นๆจะถูกรีเซต<br>หากต้องการตรวจสอบว่า AdvanceRisk จะถูกรีเซตเมื่อใด<br>ท่านสามารถตรวจสอบได้ที่ QuestCounter"""
name01#1,"""コフィー"""
11_voice_NPC_5050_104#1,"""<%me>さん。<br>お疲れ様です、管理官のコフィーです。"""
text02#1,"""<%me>さんに向けまして<br>特務先遣依頼……アドバンスクエストの<br>発令が行われました。"""
text03#1,"""また、アドバンスクエストに関連した<br>新たな依頼も届いています。"""
text04#1,"""お時間ができましたら<br>こちらまでお越しください。<br>お待ちしております。"""
text100#1,"""『アドバンスクエスト』について"""
text101#1,"""アドバンスクエストについて説明します。<br><br>アドバンスクエストはアークスの先遣隊として<br>より強力なエネミーが現れる地域の探索を行うクエストです。<br>アドバンスクエストに出発するためには<br>アドバンスカプセルというアイテムが必要になります。<br>アドバンスカプセルの支払いはキャンプシップのテレプール前の<br>ゲートに接触したときに行います。"""
text102#1,"""アドバンスクエストをクリアすると<br>そのクエストのアドバンスリスクが加算されます。<br><br>アドバンスリスクが一定までたまった状態で<br>同じクエストをプレイすると、<br>エネミーレベルの上昇等難易度の変化があります。<br><br>アドバンスリスクは一定期間経過するとリセットされます。<br>次にいつアドバンスリスクがリセットされるかは<br>クエストカウンターで確認できます。"""
