linewindow#0,"""<br>關於『夥伴角色』<br>"""
text00#0,"""關於『夥伴角色』"""
text01#0,"""達到特定條件<br>可以和夥伴角色一起冒險。<br><br>夥伴角色可以從營地小船的裝置<br>叫出來。<br><br>但是，這個房間中已經叫出的<br>夥伴角色就不能叫出來。"""
text01#1,"""好，我的委託<br>已經完成了。"""
text02#0,"""如何，有參考價值麼？<br>這是委託的流程。"""
text03#0,"""從此以後，一個人接受<br>此類委託<br>並重複執行吧。"""
text04#0,"""啊！覺得困難時就稍等一下，<br>等到情況有利再出發吧。<br>太勉強會喪命的。"""
text05#0,"""剛好，我的夥伴卡也<br>交給你吧。不知該怎麼辦的時候<br>也可以拜託我啊。"""
linewindow001#0,"""<br>ARKS的同伴之間有委託。<br>"""
linewindow002#0,"""<br>可以邀請傑諾作為夥伴加入隊伍了。<br>"""
linewindow003#0,"""<br>請選擇下一個要搜索的獨象。<br>"""
