Title#0,"""無限連戦：追憶の彼方へ"""
Explanation#0,"""訓練プログラム「特別突破訓練」を<br>さらに改良し開発された<br>アークスの訓練用プログラムです。<br>各惑星を舞台に用意されたミッションを<br>達成し、好成績を目指してください。<br>制限時間内に全て踏破するのは<br>非常に困難な難易度となっております。<br>お気をつけください。<br>――――――――――――――――――――<br>目標/ハイスコアの獲得"""
SimpleExplanation#0,"""制限時間内により多くのスコアを獲得せよ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""ＶＲ空間(森林)"""
Area0L#0,"""アークスシップ\u3000ＶＲ空間(森林)"""
Area1S#0,"""ＶＲ空間(市街地)"""
Area1L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area2S#0,"""ＶＲ空間(龍祭壇)"""
Area2L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area3S#0,"""ＶＲ空間(遺跡)"""
Area3L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area4S#0,"""ＶＲ空間(海岸)"""
Area4L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area5S#0,"""ＶＲ空間(海岸)"""
Area5L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area6S#0,"""採掘場跡"""
Area6L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area7S#0,"""ＶＲ空間(マザーシップ内部)"""
Area7L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area8S#0,"""ＶＲ空間(白ノ領域)"""
Area8L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area9S#0,"""ＶＲ空間(浮上施設)"""
Area9L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area10S#0,"""ＶＲ空間(壊世区域地下坑道)"""
Area10L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000地下坑道)"""
Area11S#0,"""ＶＲ空間(壊世区域\u3000遺跡)"""
Area11L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000遺跡)"""
Area12S#0,"""ＶＲ空間(東京)"""
Area12L#0,"""アークスシップ\u3000ＶＲ空間(東京)"""
Area13S#0,"""ＶＲ空間(ラスベガス)"""
Area13L#0,"""アークスシップ\u3000ＶＲ空間(ラスベガス)"""
Area14S#0,"""ＶＲ空間(壊世区域火山洞窟)"""
Area14L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000火山洞窟)"""
Area15S#0,"""ＶＲ空間(アースガイド地下)"""
Area15L#0,"""アークスシップ\u3000ＶＲ空間(アースガイド本部地下)"""
Area16S#0,"""ＶＲ空間(火山洞窟)"""
Area16L#0,"""アークスシップ\u3000ＶＲ空間(火山洞窟)"""
Area17S#0,"""ＶＲ空間(採掘基地)"""
Area17L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area18S#0,"""ＶＲ空間(白ノ領域・唱結界内)"""
Area18L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域・唱結界内)"""
Area19S#0,"""ＶＲ空間(月面)\u3000"""
Area19L#0,"""アークスシップ\u3000ＶＲ空間(月面)"""
Area20S#0,"""ＶＲ空間(幻創園)"""
Area20L#0,"""アークスシップ\u3000ＶＲ空間(幻創園)"""
Area21S#0,"""ＶＲ空間(魔神城周辺)\u3000"""
Area21L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
Area22S#0,"""ＶＲ空間(壊世区域\u3000森林)\u3000"""
Area22L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000森林)"""
Area23S#0,"""ＶＲ空間(????)"""
Area23L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area24S#0,"""ＶＲ空間(シップ残骸・甲板)\u3000"""
Area24L#0,"""アークスシップ\u3000ＶＲ空間(アークスシップ残骸・甲板)"""
Area25S#0,"""ＶＲ空間(マザーシップ内部)\u3000"""
Area25L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area1000S#0,"""ＶＲ空間(森林)"""
Area1000L#0,"""アークスシップ\u3000ＶＲ空間(森林)"""
Area1001S#0,"""ＶＲ空間(市街地)"""
Area1001L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area1002S#0,"""ＶＲ空間(龍祭壇)"""
Area1002L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area1003S#0,"""ＶＲ空間(遺跡)"""
Area1003L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area1004S#0,"""ＶＲ空間(海岸)"""
Area1004L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area1005S#0,"""ＶＲ空間(海岸)"""
Area1005L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area1006S#0,"""採掘場跡"""
Area1006L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area1007S#0,"""ＶＲ空間(マザーシップ内部)"""
Area1007L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area1008S#0,"""ＶＲ空間(白ノ領域)"""
Area1008L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area1009S#0,"""ＶＲ空間(浮上施設)"""
Area1009L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area1010S#0,"""ＶＲ空間(壊世区域地下坑道)"""
Area1010L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000地下坑道)"""
Area1011S#0,"""ＶＲ空間(壊世区域\u3000遺跡)"""
Area1011L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000遺跡)"""
Area1012S#0,"""ＶＲ空間(東京)"""
Area1012L#0,"""アークスシップ\u3000ＶＲ空間(東京)"""
Area1013S#0,"""ＶＲ空間(ラスベガス)"""
Area1013L#0,"""アークスシップ\u3000ＶＲ空間(ラスベガス)"""
Area1014S#0,"""ＶＲ空間(壊世区域火山洞窟)"""
Area1014L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000火山洞窟)"""
Area1015S#0,"""ＶＲ空間(アースガイド地下)"""
Area1015L#0,"""アークスシップ\u3000ＶＲ空間(アースガイド本部地下)"""
Area1016S#0,"""ＶＲ空間(火山洞窟)"""
Area1016L#0,"""アークスシップ\u3000ＶＲ空間(火山洞窟)"""
Area1017S#0,"""ＶＲ空間(採掘基地)"""
Area1017L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area1018S#0,"""ＶＲ空間(白ノ領域・唱結界内)"""
Area1018L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域・唱結界内)"""
Area1019S#0,"""ＶＲ空間(月面)\u3000"""
Area1019L#0,"""アークスシップ\u3000ＶＲ空間(月面)"""
Area1020S#0,"""ＶＲ空間(幻創園)"""
Area1020L#0,"""アークスシップ\u3000ＶＲ空間(幻創園)"""
Area1021S#0,"""ＶＲ空間(魔神城周辺)\u3000"""
Area1021L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
Area1022S#0,"""ＶＲ空間(壊世区域\u3000森林)\u3000"""
Area1022L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000森林)"""
Area1023S#0,"""ＶＲ空間(????)"""
Area1023L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area1024S#0,"""ＶＲ空間(シップ残骸・甲板)\u3000"""
Area1024L#0,"""アークスシップ\u3000ＶＲ空間(アークスシップ残骸・甲板)"""
Area1025S#0,"""ＶＲ空間(マザーシップ内部)\u3000"""
Area1025L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area2000S#0,"""ＶＲ空間(森林)"""
Area2000L#0,"""アークスシップ\u3000ＶＲ空間(森林)"""
Area2001S#0,"""ＶＲ空間(市街地)"""
Area2001L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area2002S#0,"""ＶＲ空間(龍祭壇)"""
Area2002L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area2003S#0,"""ＶＲ空間(遺跡)"""
Area2003L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area2004S#0,"""ＶＲ空間(海岸)"""
Area2004L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area2005S#0,"""ＶＲ空間(海岸)"""
Area2005L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area2006S#0,"""採掘場跡"""
Area2006L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area2007S#0,"""ＶＲ空間(マザーシップ内部)"""
Area2007L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area2008S#0,"""ＶＲ空間(白ノ領域)"""
Area2008L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area2009S#0,"""ＶＲ空間(浮上施設)"""
Area2009L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area2010S#0,"""ＶＲ空間(壊世区域地下坑道)"""
Area2010L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000地下坑道)"""
Area2011S#0,"""ＶＲ空間(壊世区域\u3000遺跡)"""
Area2011L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000遺跡)"""
Area2012S#0,"""ＶＲ空間(東京)"""
Area2012L#0,"""アークスシップ\u3000ＶＲ空間(東京)"""
Area2013S#0,"""ＶＲ空間(ラスベガス)"""
Area2013L#0,"""アークスシップ\u3000ＶＲ空間(ラスベガス)"""
Area2014S#0,"""ＶＲ空間(壊世区域火山洞窟)"""
Area2014L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000火山洞窟)"""
Area2015S#0,"""ＶＲ空間(アースガイド地下)"""
Area2015L#0,"""アークスシップ\u3000ＶＲ空間(アースガイド本部地下)"""
Area2016S#0,"""ＶＲ空間(火山洞窟)"""
Area2016L#0,"""アークスシップ\u3000ＶＲ空間(火山洞窟)"""
Area2017S#0,"""ＶＲ空間(採掘基地)"""
Area2017L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area2018S#0,"""ＶＲ空間(白ノ領域・唱結界内)"""
Area2018L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域・唱結界内)"""
Area2019S#0,"""ＶＲ空間(月面)\u3000"""
Area2019L#0,"""アークスシップ\u3000ＶＲ空間(月面)"""
Area2020S#0,"""ＶＲ空間(幻創園)"""
Area2020L#0,"""アークスシップ\u3000ＶＲ空間(幻創園)"""
Area2021S#0,"""ＶＲ空間(魔神城周辺)\u3000"""
Area2021L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
Area2022S#0,"""ＶＲ空間(壊世区域\u3000森林)\u3000"""
Area2022L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000森林)"""
Area2023S#0,"""ＶＲ空間(????)"""
Area2023L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area2024S#0,"""ＶＲ空間(シップ残骸・甲板)\u3000"""
Area2024L#0,"""アークスシップ\u3000ＶＲ空間(アークスシップ残骸・甲板)"""
Area2025S#0,"""ＶＲ空間(マザーシップ内部)\u3000"""
Area2025L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area30S#0,"""インターバルエリア1"""
Area30L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア1"""
Area31S#0,"""インターバルエリア2"""
Area31L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア2"""
Area32S#0,"""インターバルエリア3"""
Area32L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア3"""
Area33S#0,"""インターバルエリア4"""
Area33L#0,"""アークスシップ\u3000ＶＲ空間(エスカタワー上層)\u3000インターバルエリア4"""
Area34S#0,"""インターバルエリア5"""
Area34L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア5"""
Area35S#0,"""インターバルエリア6"""
Area35L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア6"""
Area1030S#0,"""インターバルエリア7"""
Area1030L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア7"""
Area1031S#0,"""インターバルエリア8"""
Area1031L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア8"""
Area1032S#0,"""インターバルエリア9"""
Area1032L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア9"""
Area1033S#0,"""インターバルエリア10"""
Area1033L#0,"""アークスシップ\u3000ＶＲ空間(エスカタワー上層)\u3000インターバルエリア10"""
Area1034S#0,"""インターバルエリア11"""
Area1034L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア11"""
Area1035S#0,"""インターバルエリア12"""
Area1035L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア12"""
Area2030S#0,"""インターバルエリア13"""
Area2030L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア13"""
Area2031S#0,"""インターバルエリア14"""
Area2031L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア14"""
Area2032S#0,"""インターバルエリア15"""
Area2032L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア15"""
Area2033S#0,"""インターバルエリア16"""
Area2033L#0,"""アークスシップ\u3000ＶＲ空間(エスカタワー上層)\u3000インターバルエリア16"""
Area2034S#0,"""インターバルエリア17"""
Area2034L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア17"""
Area2035S#0,"""インターバルエリア18"""
Area2035L#0,"""アークスシップ\u3000ＶＲ空間\u3000インターバルエリア18"""
Area40S#0,"""ＶＲ空間(魔神城周辺)"""
Area40L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
NpcComMsg1#0,"""エンドレスクエストを開始します。<br>制限時間までにより多くのミッションを<br>達成しスコアを獲得してください。"""
NpcComMsg2#0,"""「ミッションオーダー」の達成により<br>制限時間が延長し、スコアアップが<br>可能です。それでは頑張ってください。"""
UIQuestTargetOutlineSecond#0,"""限界までより多くのミッションをクリアせよ！"""
UIQuestTargetDetailSecond#0,"""限界までより多くのミッションをクリアせよ！"""
NPCArea0#0,"""/atime2.5 /voice11_voice_navi07_013 ミッション１は私がナビゲートします。<br>まずは周囲のエネミーを撃破して<br>武器と進路を確保しましょう。"""
NPCArea1#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション２からは詳細なナビゲートを<br>行いませんので、自身の力で乗り切って<br>ください。それではご武運を。"""
NPCArea2#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション３です。<br>しっかりと休憩はできましたか？<br>そろそろ難易度が上がってきますよ。"""
NPCArea3#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション４です。<br>ＶＲエネルギーは大丈夫ですか？<br>エネルギー切れにご注意を。"""
NPCArea4#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション５です。<br>最後のミッションとなります。<br>心してお進みください。"""
NPCArea5#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション６です。ここからは<br>ＶＲエネルギーの切れるまで<br>全力で頑張ってください。"""
NPCArea6#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション７です。<br>同じ光景だとしても、その内容が<br>同じとは限りません。ご注意を。"""
NPCArea7#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション８です。すでにお気づきかも<br>しれませんが、マップに表示されない<br>エネルギーカプセルも落ちていますよ。"""
NPCArea8#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea9#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea10#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１１です。<br>３週目なので難易度が更に上がります。<br>限界まで力を振り絞りましょう。"""
NPCArea11#0,"""/atime2.5 /voice11_voice_navi07_019 ミッション１２です。<br>この難易度にも耐えうる能力……<br>素晴らしいの一言につきます。"""
NPCArea12#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１３です。<br>全力をもって最善を尽くし<br>最深部到達を目指してください。"""
NPCArea13#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１４です。<br>最深部にだいぶ近づいて来ています。<br>３週目の、最深部に。"""
NPCArea14#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション１５です。<br>ここを越えれば３週目終了です。<br>ご武運を。"""
NPCArea15#0,"""/atime2.5 /voice11_voice_navi07_018 ミッション１６です。<br>４週目のはじまりです。<br>更に難易度が上がりますよ。"""
NPCArea16#0,"""/atime2.5 /voice11_voice_navi07_014 ミッション１７です。<br>素晴らしい成果です。次のミッションで<br>ちょっとした情報を提供しますね。"""
NPCArea17#0,"""/atime2.5 /voice11_voice_navi07_015 ミッション１８です。<br>本ミッションは、これが最後の周回。<br>つまり、残りは３ミッションです。"""
NPCArea18#0,"""/atime2.5 /voice11_voice_navi07_016 ミッション１９です。<br>残り２ミッション。<br>もうひと踏ん張りですよ。"""
NPCArea19#0,"""/atime2.5 /voice11_voice_navi07_017 ミッション２０です。<br>どう転んでも最後のミッションです。<br>死力を尽くして頑張ってください。"""
NPCArea21#0,"""/atime2.5 /voice11_voice_navi07_002 インターバルエリアとなります。<br>時間内に補給を行い<br>以降のミッションに備えてください。"""
NPCArea22#0,"""/atime2.5 /voice11_voice_navi07_002 インターバルエリアとなります。<br>時間内に補給を行い<br>以降のミッションに備えてください。"""
NPCArea23#0,"""/atime2.5 /voice11_voice_navi07_002 インターバルエリアとなります。<br>時間内に補給を行い<br>以降のミッションに備えてください。"""
NPCArea24#0,"""/atime2.5 /voice11_voice_navi07_002 インターバルエリアとなります。<br>時間内に補給を行い<br>以降のミッションに備えてください。"""
