st_052070_0010#0,"""啊……守護輝士殿下。<br>那個，感謝前幾天的幫助。"""
st_052070_0020#0,"""幫助了哈莉艾特大人<br>非常，感謝。"""
st_052070_0030#0,"""１．那是應該的"""
st_052070_0040#0,"""２．你對自己很不滿"""
st_052070_0050#0,"""……那種理所應當的事也做不到，是我自身實力不夠。<br>……比什麼都不甘心。"""
st_052070_0060#0,"""……並不是，不是不滿。<br>是後悔自己的力量不夠。"""
st_052070_0070#0,"""那個時候在那裏<br>沒能成爲哈莉艾特大人的力量<br>只是單純的我的力量不足。"""
st_052070_0080#0,"""我是哈莉艾特大人的副官。<br>如果有守護輝士殿下一樣的力量的話<br>也能成爲哈莉艾特大人的依靠的……"""
st_052070_0090#0,"""……那個，沒有考慮過<br>使用徒花嗎？"""
st_052070_0100#0,"""聽說了很多，我覺得<br>那個徒花好像有很大的魅力啊。<br>關於副作用的傳言也都很不清不楚。"""
st_052070_0110#0,"""即使如此，大家都理解<br>不使用徒花麼？"""
st_052070_0120#0,"""雖然有像我這樣感嘆力量不足的人，<br>但是想使用徒花的人，<br>一個也沒有。"""
st_052070_0130#0,"""因爲那是對<br>哈莉艾特大人最大的背叛。"""
st_052070_0140#0,"""徒花把世界變得奇怪。<br>說沒有人懷疑這個說法肯定是騙人的。"""
st_052070_0150#0,"""但是，哈莉艾特大人爲了我們拼盡全力。<br>那是不折不扣的事實。"""
st_052070_0160#0,"""不管是討伐一心只爲自己的宰相魯茲<br>還是發起起義，都是爲了人民。"""
st_052070_0170#0,"""那些都是會使心理和身體受傷的事，<br>但是哈莉艾特大人依然堅持自己的正義，<br>從未停下腳步。"""
st_052070_0180#0,"""支持那樣的哈莉艾特大人，<br>才能使我……不，使我們<br>活得有價值。"""
st_052070_0190#0,"""守護輝士殿下，<br>感謝前幾天對哈莉艾特大人<br>伸出了援助之手。"""
st_052070_0200#0,"""但是，哈莉艾特大人的副官是我！<br>哈莉艾特大人由我來守護！"""
st_052070_0210#0,"""失禮了！"""
st_052070_0220#0,"""……真是簡單易懂的人呢。<br>很喜歡哈莉艾特呢。"""
st_052070_0230#0,"""而且，聽到了好多消息。"""
st_052070_0240#0,"""大家比起排除徒花這件事，<br>感覺更多的是響應哈莉艾特的心意呢。"""
st_052070_0250#0,"""在我看來，既瀟灑又美麗……<br>想必一定是和優秀的家族，<br>兄弟姐妹一起成長的吧。"""
