name_7224#0,"""シトレー"""
ssn_019090_002_0001#0,"""来てくれて、ありがとう。<br>あらためて、自己紹介するね。"""
ssn_019090_002_0002#0,"""ボクの名前はシトレー。セントラルシティの補給隊所属で、<br>物資の管理とか、戦闘の支援とかを担当してるんだ。"""
ssn_019090_002_0003#0,"""それで、本題なんだけど……。"""
ssn_019090_002_0004#0,"""これまでのアークスの労をねぎらうために、<br>後方支援のみんなで、パーティーをやろうってことになってね。"""
ssn_019090_002_0005#0,"""サプライズで、ツキミダンゴっていう、<br>丸くて白い、珍しい食べ物を用意してたんだ。"""
ssn_019090_002_0006#0,"""だけど、それをトラックで各地に運んでいるときに、<br>いつのまにか一部がなくなってたんだよ。"""
ssn_019090_002_0007#0,"""輸送隊として、あるまじき失態！"""
ssn_019090_002_0008#0,"""それに、みんなで一生懸命作ったのに！<br>いつ、誰が、どこに、持ってったんだよぉー！"""
ssn_019090_002_0009#0,"""……っていう怒りが、<br>ボクのなかを駆け巡っているわけです。"""
ssn_019090_002_0010#0,"""……で、ボクのほうでその犯人捜しをしたいんだけど、<br>いろいろあって手が回らなくてね。"""
ssn_019090_002_0011#0,"""キミに手伝ってもらえたら、<br>助かるなぁ……って、思ってるんだ。"""
ssn_019090_002_0012#0,"""現場にいた何人かに、声をかけてあるから、<br>ちょっと聞き取りをお願いできないかな？"""
ssn_019090_002_0013#0,"""お礼はちゃんとするつもりなので。"""
ssn_019090_002_0014#0,"""それじゃあ、よろしくね！"""
ssn_019090_002_0015#0,"""<%me>！\u3000来てくれてありがとう。"""
ssn_019090_002_0016#0,"""それで、さっそく本題に入るんだけど……。"""
ssn_019090_002_0017#0,"""おかえり！<br>どうだった？\u3000なにかわかった？"""
ssn_019090_002_0018#0,"""犯人がわかったら、<br>とっちめてやるんだ！"""
ssn_019090_002_0019#0,"""……っと、シトレー、<br>クールになりなさい……。"""
ssn_019090_002_0020#0,"""深呼吸……深呼吸……。"""
ssn_019090_002_0021#0,"""じゃあ、話をまとめてみよっか。"""
ssn_019090_002_0022#0,"""………。"""
ssn_019090_002_0023#0,"""なるほどー。<br>丸くて、小さくて、手がある……なにか、かぁ。"""
ssn_019090_002_0024#0,"""なるほどぉ……。"""
ssn_019090_002_0025#0,"""え？\u3000なんだろう……？"""
ssn_019090_002_0026#0,"""キミは、なんだかかわかった？"""
ssn_019090_002_0027#0,"""なるほど！<br>確かに“丸い”といえばアイツだね！"""
ssn_019090_002_0028#0,"""でも、ゴロロンって、小さくなくない？"""
ssn_019090_002_0029#0,"""あの、マッタリしてるアイツね！<br>テイムズかぁ、それは考えてなかったな。"""
