Begin#0,"""/ci2 1 パティー開始"""
Success#0,"""/mn1 /ci2 2 パティー成功"""
Failure#0,"""/mn1 /ci2 2 パティー失敗"""
Dead#0,"""/mn1 /ci2 2 パティー死亡"""
BuddyDead#0,"""/mn1 /ci2 2 パティー相手が死亡"""
Evolution#0,"""/mn1 /ci2 2 パティー発展"""
Begin#1,"""/ci2 1 ケーキ！\u3000ケーキ！\u3000おいしいケーキ！<br>ナウラのケーキ屋でておいでー！<br>でないとこっちから出向くぞー！"""
Success#1,"""/ci2 2 ふふふふ、この程度でアタシの<br>ケーキへの道を閉ざすことはできない！<br>さあさティア、捜索再開だよー！"""
Failure#1,"""/ci3 1 むむっ、こりゃたまらん！<br>パティエンティアは撤退します！"""
Dead#1,"""/ci4 1 ああ……ケーキの家が見える……<br>これは……夢？"""
BuddyDead#1,"""/mn22 /ci4 1 ティアがやられた、だがティアは<br>あたし達の中でも一番の小物！\u3000胸が！<br>……倒れてるティアからの視線が痛い！"""
Evolution#1,"""/mn17 /ci2 2 まだ、来る！<br>ケーキへの道は長く険しいね！"""
Begin#2,"""/ci2 4 呼ばれて飛び出てじゃじゃーん！<br>アークスいちの情報屋<br>ただいま登場っ！"""
Success#2,"""/ci2 2 さてさて！<br>例の件、覚えてるよね！<br>忘れてないよね！"""
Failure#2,"""このままじゃティアも<br>行方不明になりそうなので<br>ここら辺でお引上げ！"""
Dead#2,"""ちょ、ちょっと休憩したいかも……"""
BuddyDead#2,"""ふふふ、ティアがやられたか……<br>しかーし、今日のあたしたちは<br>いつもとはひと味違うよーっ！"""
