un_020650_0010#0,"""โอ้ เจ้าเองเรอะ<br>ได้ยินรึยัง เรื่อง Class ใหม่แน่ะ<br>รู้สึกจะเรียกว่า Samurai ใช่รึเปล่า?"""
un_020650_0020#0,"""แถมเกี่ยวกับผู้ก่อตั้งข้ายังได้ยินว่าเป็น<br>แค่ ARKS ที่ยังไม่มีชื่อเสียงโด่งดังอีกด้วย<br>อืมอืม ยอดเยี่ยมจริงๆ"""
un_020650_0030#0,"""เข้าไปขอเป็นศิษย์ Regias อย่างไม่เกรงกลัว<br>และผลลัพธ์ก็คือ การสามารถก่อตั้ง Class ใหม่<br>ได้สำเร็จ เป็นวิถีในอุดมคติจริงๆ"""
un_020650_0040#0,"""สำหรับ ARKS แล้ว เรื่องนี้สอนว่า<br>หากคิดว่าสิ่งที่ทำอยู่มันถูกต้อง ถึงอีกฝ่าย<br>จะใหญ่กว่าแต่ก็ไม่จำเป็นต้องเกรงใจใดๆ"""
un_020650_0050#0,"""จะเรื่องกลยุทธ์หรือแผนการรบ ทักษะหรือเทคนิค<br>ถ้าต้องเถียงกัน จะเป็นรุ่นพี่หรือรุ่นน้องก็ไม่เกี่ยว<br>ขอแค่ให้สามารถนำไปสู่ความก้าวหน้าได้ก็พอ"""
un_020650_0060#0,"""หากกลัวที่ต้องจะเถียงกับคนอาวุโสกว่า<br>ก็จะไม่สามารถเติบโตขึ้นได้<br>......นั่นคือเรื่องที่พวกเราควรจำไว้ให้มั่น"""
un_020650_0070#0,"""แต่จะว่าไป สมัยที่ข้ายังด้อยประสบการณ์<br>ข้าเองก็เคยต่อว่าพวกรุ่นน้องอย่างเข้มงวด<br>เหมือนกัน............"""
un_020650_0010#1,"""おお、君か。<br>聞いているか、新たなクラスのことを。<br>ブレイバーと言ったか？"""
un_020650_0020#1,"""クラスの設立に関わったのは<br>まだ無名のアークスと聞く。<br>うむうむ、すばらしいことだ。"""
un_020650_0030#1,"""物怖じせずにレギアスへと師事を請い<br>その結果、新規クラスを設立するに<br>至ったという。理想的な流れだな。"""
un_020650_0040#1,"""アークスにおいて、先達を<br>尊敬しているとしても、それに<br>遠慮する必要はどこにもない。"""
un_020650_0050#1,"""戦術や戦略、技能や技術も<br>議論を交わし、先輩後輩の垣根なく<br>切磋琢磨していってこそ、だろう。"""
un_020650_0060#1,"""先行く存在に萎縮していては<br>後進は育たないものだ。<br>……私達も、肝に銘じないとな。"""
un_020650_0070#1,"""とはいえ私も若い頃は未熟でな。<br>自分の後輩に対して、厳しい言葉を<br>投げかけては…………"""
