Begin#0,"""เริ่ม 5008"""
Success#0,"""สำเร็จ 5008"""
Failure#0,"""ล้มเหลว 5008"""
Dead#0,"""ตนเองเสียชีวิต 5008"""
BuddyDead#0,"""Partner เสียชีวิต 5008"""
Evolution#0,"""พัฒนา 5008"""
Begin#1,"""開始5008"""
Success#1,"""成功5008"""
Failure#1,"""失敗5008"""
Dead#1,"""自分死亡5008"""
BuddyDead#1,"""相手死亡5008"""
Evolution#1,"""発展5008"""
Begin#2,"""5002 เริ่ม 5008"""
Success#2,"""5002 สำเร็จ 5008"""
Failure#2,"""5002 ล้มเหลว 5008"""
Dead#2,"""5002 ตนเองเสียชีวิต 5008"""
BuddyDead#2,"""5002 Partner เสียชีวิต 5008"""
Evolution#2,"""5002 พัฒนา 5008"""
Begin#3,"""5002開始5008"""
Success#3,"""5002成功5008"""
Failure#3,"""5002失敗5008"""
Dead#3,"""5002自分死亡5008"""
BuddyDead#3,"""5002相手死亡5008"""
Evolution#3,"""5002発展5008"""
Begin#4,"""5003 เริ่ม 5008"""
Success#4,"""5003 สำเร็จ 5008"""
Failure#4,"""5003 ล้มเหลว 5008"""
Dead#4,"""5003 ตนเองเสียชีวิต 5008"""
BuddyDead#4,"""5003 Partner เสียชีวิต 5008"""
Evolution#4,"""5003 พัฒนา 5008"""
Begin#5,"""5003開始5008"""
Success#5,"""5003成功5008"""
Failure#5,"""5003失敗5008"""
Dead#5,"""5003自分死亡5008"""
BuddyDead#5,"""5003相手死亡5008"""
Evolution#5,"""5003発展5008"""
