TrialName#0,"""防禦$(0)"""
TrialBeginMsg#0,"""保護$(0)免受敵人的攻擊"""
TrialAbstract#0,"""保護$(0)"""
Wave1Msg#0,"""第一波敵人接近！保護好$(0)！！ """
Wave2Msg#0,"""第二波敵人接近！保護好$(0)！！ """
Wave3Msg#0,"""第三波敵人接近！保護好$(0)！！  """
Wave4Msg#0,"""第四波敵人接近！保護好$(0)！！ """
Wave5Msg#0,"""還有更多的敵人反應！<br>保護$(0)！！ """
NpcComOnBegin#0,"""/voice11_voice_navi001_trial_0001_004 收到作戰行動中的ARKS發出的求救信號！<br>請趕往現場，對目標進行防禦！"""
NpcComOnHp50#0,"""/voice11_voice_navi001_trial_0001_057 防禦對象受到的損傷正在擴大！<br>排除接近的敵人！"""
NpcComOnHp20#0,"""/voice11_voice_navi001_trial_0001_037 防禦對象嚴重受損！<br>這樣下去會被破壞！無論如何都要堅守下來！"""
NpcComOnSuccess#0,"""/voice11_voice_navi001_trial_0001_009 附近的敵人反應消失！<br>已經安全了，感謝合作！"""
NpcComOnFailure#0,"""/voice11_voice_navi001_trial_0001_010 對象的防禦失敗。<br>參加作戰的ARKS請從現場撤離。"""
