name01#0,"""アスタルテ"""
11_voice_shop_410#0,"""こんにちは。<br>アークスの基礎教導担当官の<br>アスタルテです。"""
text02#0,"""このたび、新たな実践型教導プログラム<br>「<c ff4f3f>ミッションボード<c>」の<br>担当となりました。"""
text03#0,"""様々な目標を達成していくことで<br>自然とアークスとしての知識が身につく<br>それが<c ff4f3f>ミッションボード<c>です。"""
text04#0,"""仕組みについては見ていただいた方が<br>理解が早いかと思いますので<br>実際に見てみましょう。"""
text05#0,"""<c ff4f3f>メインメニュー<c>を開きますので、<br>「<c ff4f3f>クエスト<c>」カテゴリの「<c ff4f3f>ミッションボード<c>」を<br>選択してください。"""
text06#0,"""<c ff4f3f>ミッションボード<c>の確認方法について<br>ご理解いただけましたか？"""
text07#0,"""それでは、次は<br>「<c ff4f3f>ミッション<c>」の進め方を<br>実践してみましょう。"""
text08#0,"""ではまず、クエストカウンターに行き<br><c ff4f3f>ストーリークエスト<c>から<br>「<c ff4f3f>最初のマターボード<c>」を受けてください。"""
text100#0,"""<c ff4f3f>ミッションボード<c>を選択してください<pict Alpha_B>"""
text110#0,"""<yellow>メインミッション<c>を選択してください<pict Alpha_B>"""
text120#0,"""<c ff4f3f>「最初のマターボード」を選んでください<c>"""
text130#0,"""<yellow>ミッションボードウィンドウを閉じてください<c><pict Alpha_A>"""
text140#0,"""<yellow>メインメニュー<c>を<c ff4f3f>閉じてください<c><pict Alpha_A>"""
