a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
Title#0,"""艦隊迎撃戦：味方救援"""
Explanation#0,"""当船団の巡洋艦が終の艦隊からの襲撃を<br>受けているとの急報があった。<br>味方艦は航行不能に陥っており<br>捕獲の危機に晒されているとのこと。<br>急ぎ、救援に向かい<br>甲板上の敵勢力を排除せよ。<br>なお、宙域では敵戦闘機の反応も確認。<br>艦外からの攻撃にも注意せよ。<br>――――――――――――――――――――<br>失敗条件/制限時間の経過"""
NpcComMsg1#0,"""これより、輸送を開始します。<br>今回の目的は、敵部隊に<br>襲撃されている味方艦の救援です。"""
NpcComMsg2#0,"""敵勢力の猛攻により<br>味方艦は航行不能状態にあります。<br>敵を撃破し、解放してください。"""
NpcComMsg1#1,"""艦が捕縛されようとしています。<br>甲板上に出撃し、捕縛を試みている<br>敵部隊を殲滅してください。"""
SimpleExplanation#0,"""甲板上の敵を排除せよ！"""
Area0S#0,"""艦隊交戦区域"""
Area0L#0,"""艦隊交戦区域\u3000セクター１展開エリア"""
