Title#0,"""ダブルセイバーの基礎"""
Explanation#0,"""■訓練メニュー<br>――――――――――――――――――――<br>課題１：ダブルセイバーギア訓練<br>課題２：ダブルセイバーの武器アクション訓練<br>課題３：ダブルセイバーの固有スキルの使用<br>課題４：実戦訓練<br><br>※ギア上昇率は訓練用に調整されており<br>\u3000\u3000実際のものとは異なります。"""
SimpleExplanation#0,"""４つの課題を達成せよ！"""
Training1_1#0,"""エネミーを攻撃してギアをためる"""
Training1_2#0,"""エネミーの攻撃を受ける"""
Training1_3#0,"""エンハンスアタックを使用する"""
Training2_1#0,"""カウンター攻撃をエネミーに当てる"""
Training2_2#0,"""ディフレクトコンボを当てる"""
Training3_1#0,"""方向入力を行いながらＰＡを使用する"""
Training3_2#0,"""方向入力を行わずにＰＡを使用する"""
Training3_3#0,"""クイックテイクをエネミーに当てる"""
Training9_2#0,"""エネミーを全て討伐せよ！"""
Retry_1#0,"""課題１"""
Retry_2#0,"""課題２"""
Retry_3#0,"""課題３"""
Retry_4#0,"""課題４"""
Retry_5#0,"""課題５"""
Retry_6#0,"""課題６"""
Retry_7#0,"""課題７"""
Retry_8#0,"""課題８"""
Retry_9#0,"""課題９"""
Retry_10#0,"""課題１０"""
