name_7625#0,"""에딕"""
ssn_014680_0001#0,"""안녕, 못 보던 얼굴인데.<br>인사 나눌 겸 밥이라도 사줄까?"""
ssn_014680_0002#0,"""여기 레스트 코너는<br>아크스에겐 정보교환의 장이기도 해."""
ssn_014680_0003#0,"""여기 녀석들에게 말을 걸어 봐.<br>무슨 좋은 정보를 얻을 수 있을지도 몰라."""
ssn_014680_0101#0,"""여어, 밥은 먹고 다니냐?"""
ssn_014680_0102#0,"""뜬금 없지만, 강적과 싸울 땐<br>역시 동료가 있었으면 싶지?"""
ssn_014680_0103#0,"""같이 싸우고 싶은 녀석을 찾고 싶으면<br>내가 좋은 걸 알려주지."""
ssn_014680_0201#0,"""\""같이 싸우고 싶은 녀석 집합!\""<br>……같은 식으로 모집을 걸어 봐."""
ssn_014680_0202#0,"""마음이 통하는 녀석들이<br>분명 와 줄 거야."""
ssn_014680_0301#0,"""허어, 관심 없구나…….<br>뭐 그래, 언제든지 와."""
ssn_014680_0401#0,"""그래, 기운 넘치는데!"""
ssn_014680_0402#0,"""그런 식으로 동료들을 많이 늘리면 돼.<br>힘내라!"""
ssn_014680_0403#0,"""……아, 그렇지.<br>동료들과 싸운다면, \""팀\""에 가입하는 것도 방법이야."""
ssn_014680_0404#0,"""팀한테 한 번 가 봐.<br>팀 활동지원가로 일하는 녀석이야."""
ssn_014680_0405#0,"""착한 녀석이니까,<br>물어보면 친절하게 알려줄 거야."""
