msc_022020_0010#0,"""マノン！"""
msc_022020_0020#0,"""アイナ……<%me>も……。"""
msc_022020_0030#0,"""よかった……。<br>やっと会えたよ。"""
msc_022020_0040#0,"""……ええ。"""
msc_022020_0050#0,"""その服は……どうしたの？"""
msc_022020_0060#0,"""クロフォードから、渡されたの。"""
msc_022020_0070#0,"""以前のは、<br>リサージェントアークスのものだから。"""
msc_022020_0080#0,"""あ、そっか……。"""
msc_022020_0090#0,"""よく似合ってる。"""
msc_022020_0100#0,"""前のほうがよかった。"""
msc_022020_0110#0,"""え？\u3000そ、そうかしら？"""
msc_022020_0120#0,"""ええ……。<br>身体には馴染んでいたわ。"""
msc_022020_0130#0,"""う～ん……。"""
msc_022020_0140#0,"""前のも似合ってたけど、<br>今のもいいかな？"""
msc_022020_0150#0,"""ありがとう。"""
msc_022020_0160#0,"""これから、時間はある？"""
msc_022020_0170#0,"""久しぶりに、たくさん話をしたいよ。"""
msc_022020_0180#0,"""そうね……。"""
msc_022020_0190#0,"""でも、ごめんなさい。<br>これから調査隊の相談で、グレンに呼ばれているの。"""
msc_022020_0200#0,"""……あ、そうだったんだ……。"""
msc_022020_0210#0,"""あたしたちも、手伝いたかったんだけど、<br>ダメって言われちゃって……。"""
msc_022020_0220#0,"""あなたたちにも、<br>別の任務があるんでしょう？"""
msc_022020_0230#0,"""だとしたら、そちらに集中するべきよ。"""
msc_022020_0240#0,"""う、うん……。"""
msc_022020_0250#0,"""マノン……。"""
msc_022020_0260#0,"""マノンはひとりで大丈夫？"""
msc_022020_0270#0,"""……そうね。<br>どうかしら……。"""
msc_022020_0280#0,"""なにか心配事が？"""
msc_022020_0290#0,"""調査がイヤなの？"""
msc_022020_0300#0,"""心配事……。<br>そうね……。"""
msc_022020_0310#0,"""いえ、そうではないわ……。"""
msc_022020_0320#0,"""……みんなに会うのが怖いの。"""
msc_022020_0330#0,"""私は、ハルファの人々に、<br>決して赦されないことをしてしまったから……。"""
msc_022020_0340#0,"""そんな……。"""
msc_022020_0350#0,"""マノンは悪くないよ！"""
msc_022020_0360#0,"""クロフォードたちも、<br>マノンは“仲間”だって！"""
msc_022020_0370#0,"""……仮にそうだとしても、<br>過去が消えるわけじゃないわ……。"""
msc_022020_0380#0,"""つぐないをするには、<br>どうすればいいのか……。"""
msc_022020_0390#0,"""そのことばかりを、考えてしまうの。"""
msc_022020_0400#0,"""なにかあれば力になる。"""
msc_022020_0410#0,"""また、ひとりで抱え込んで……。"""
msc_022020_0420#0,"""……ありがとう。"""
msc_022020_0430#0,"""そうね……。<br>悪い癖ね。"""
msc_022020_0440#0,"""ここにいたのか、マノン。"""
msc_022020_0450#0,"""……グレン。"""
msc_022020_0460#0,"""ごめんなさい。<br>急いで行くわ。"""
msc_022020_0470#0,"""場所はわかるな？"""
msc_022020_0480#0,"""ええ。"""
msc_022020_0490#0,"""グレン。<br>マノンはずっとあんなようすなの？"""
msc_022020_0500#0,"""周囲との距離感を、<br>測りかねているようだ。"""
msc_022020_0510#0,"""……まだ、懐疑的な目を向ける者もいるからな。"""
msc_022020_0520#0,"""そんな……<br>マノンはハルファのために戦ってきたのに……。"""
msc_022020_0530#0,"""やっぱり、自分たちが……。"""
msc_022020_0540#0,"""しっかり見ていてあげて。"""
msc_022020_0550#0,"""それはダメだ。"""
msc_022020_0560#0,"""もとより、そのつもりだ。"""
msc_022020_0570#0,"""正直、俺自身も思うところはある。"""
msc_022020_0580#0,"""……だが、お前たちには世話になってきた。"""
msc_022020_0590#0,"""俺に任せておけ。<br>悪いようにはしない。"""
msc_022020_0600#0,"""マノン、またひとりで、<br>抱え込まないといいけど……。"""
msc_022020_0610#0,"""グレンは、ああ言ってたけど、<br>ときどきようすを見に行くようにしよう。"""
msc_022020_0620#0,"""キミも、気にかけてあげて。"""
