un_049010_0010#0,"""もし、もしもし。<br>聞こえていますか？"""
un_049010_0020#0,"""ああ、<%me>さん。<br>無事通じてるようですね、よかった。"""
un_049010_0030#0,"""こうして連絡させていただいたのは<br>折り入ってのお願いがあるからです。"""
un_049010_0040#0,"""<%me>さん。<br>私と、一対一で戦いませんか？"""
un_049010_0050#0,"""色々と、落ち着いてきましたし<br>ここらで一戦、どうかと思いまして。<br>決闘の申し込みです。"""
un_049010_0060#0,"""ヒューイさんやクラリスクレイスさんにも<br>お誘いをかけたのですが、シエラさんに<br>アークスの規定が云々と断られてしまいました。"""
un_049010_0070#0,"""その点、貴方はアークスの規定に縛られない<br>存在なわけですから、断りにくいかな、と。"""
un_049010_0080#0,"""ああ、今すぐに、じゃなくてもいいですよ。<br>待つのは慣れていますので<br>準備や覚悟が出来ましたら、いらしてください。"""
un_049010_0090#0,"""こらーっ！\u3000ファレグさん！<br>勧誘禁止！\u3000そういうのダメです！"""
un_049010_0100#0,"""あらあら、うるさい人がいらっしゃいましたね。<br>それでは、楽しみにしていますよ。"""
un_049010_0110#0,"""あーっ、もう！\u3000切られた！<br><%me>さん！<br>今の通信、決闘の申し込みでしょう？"""
un_049010_0120#0,"""まったく……！<br>強そうな相手にどんどん挑戦状を<br>送りつけてるみたいで、困っちゃいます。"""
un_049010_0130#0,"""無理に受ける必要はありませんよ。<br>あれは彼女の暇つぶしなんですからね。"""
un_049010_0140#0,"""まあ、<%me>さんが<br>戦いたいというのなら、止めはしませんけど……<br>……めっちゃくちゃ強いですよ、あの人。"""
un_049010_0150#0,"""やるつもりなら……<br>本当に……気をつけてくださいね。"""
