text01#0,"""ข้าน่ะจะเคลื่อนไหวแบบลุยเดี่ยวซะส่วนมาก<br>จะว่าไงดีล่ะ ข้ารู้สึกว่าการเคลื่อนไหวแบบปาร์ตี้<br>มันไม่เหมาะกับข้า หรือก็คือข้าไม่ค่อยจะรู้เรื่อง"""
11_voice_NPC_5091_104#0,"""ถึงข้าจะพูดแบบนั้น แต่ข้าเองก็ไม่ได้คิด<br>ที่จะปฏิเสธการจับปาร์ตี้ เพียงแต่ว่าข้าน่ะ<br>ก็แค่ยังอ่อนประสบการณ์เรื่องนี้"""
text03#0,"""แต่เมื่อคิดถึงอนาคตข้างหน้านี้แล้ว<br>ข้าเองก็ควรจะต้องคำนึงถึงการต่อสู้<br>ภายในปาร์ตี้แบบนั้นเอาไว้ด้วย"""
text04#0,"""เพราะฉะนั้น รุ่นพี่ ขอโทษทีนะ<br>แต่ช่วยแสดงการเคลื่อนไหวของรุ่นพี่ในสภาพ<br>ที่จับปาร์ตี้กับใครก็ได้ให้ข้าดูหน่อยจะได้รึเปล่า?"""
text100#0,"""เกี่ยวกับ [การจัดตั้งปาร์ตี้]"""
text101#0,"""ปาร์ตี้นั้น จะเป็นการรวบรวมตัวละครอื่นๆ มาทำภารกิจร่วมกัน<br>ซึ่งจะสามารถจัดตั้งได้สูงสุดถึง 4 คน<br><br>เมื่อจัดตั้งปาร์ตี้ จะทำให้รับรู้ได้ถึง HP หรือ<br>ที่อยู่ ฯลฯ ของตัวละครอื่นๆ <br>อีกทั้งยังทำให้สามารถติดต่อสื่อสารกันได้ง่ายยิ่งขึ้น<br><br>นอกจากนี้ ไม่ใช่เพียงแค่จะทำให้โค่นศัตรูได้เร็วขึ้นจากการร่วมมือกันเท่านั้น<br>แต่ยังจะสามารถได้รับ XP Bonus เพิ่มขึ้นตามจำนวนคนในปาร์ตี้อีกด้วย<br>ซึ่งจะทำให้การเจริญเติบโตของตัวละครก้าวหน้าเร็วขึ้นเป็นพิเศษ"""
text102#0,"""เควสจะมีอยู่ด้วยกัน 2 ชนิดซึ่งก็คือ <br>[Single-Party Quest] และ [Multiparty Quest] <br>[Multiparty Quest] นั้น<br>จะเป็น Area ที่จะสามารถร่วมมือกันต่อสู้ได้ถึง 12 ตัวละคร<br>ถึงจะเป็นศัตรูที่ปาร์ตี้อื่นเป็นผู้โค่น แต่เราก็จะได้รับ XP ด้วย<br><br>หากรวมตัวกันครบ 12 คน แม้จะเป็นศัตรูที่แข็งแกร่งแต่ก็จะต่อสู้ได้ง่ายยิ่งขึ้น"""
text103#0,"""หากต้องการที่จะรับสมัครสมาชิกปาร์ตี้<br>ก็ลองมาปรับเปลี่ยนการกำหนดค่าของปาร์ตี้ดูกันเถอะ<br><br>- การกำหนดชื่อปาร์ตี้<br> หากทำการใส่ชื่อเควส, ชื่อ Field หรือ ระดับความยากเอาไว้<br> ก็ทำให้สามารถรวบรวมสมาชิกที่มีเป้าหมายเดียวกันได้ง่ายยิ่งขั้น<br><br>- การกำหนดรูปแบบการเล่น<br> หากไม่ยึดติดอะไรให้กำหนดว่า [ไม่ว่าใครก็สนุกได้] เอาไว้ก็น่าจะดี<br> แต่ในกรณีที่มีเป้าหมายในการเล่น <br>  ก็มาเลือกรูปแบบการเล่นที่เข้ากันกับการเล่นของท่านกันเถอะ"""
text104#0,"""- การกำหนดค่ารายละเอียดปาร์ตี้<br> มาเขียนเป้าหมายของปาร์ตี้ที่เข้าใจง่ายๆ เอาไว้กันเถอะ<br> เช่น [เก็บเลเวล] [เคลียร์ Order] [สู้บอส]<br><br>อย่างอื่น เช่นวิธีการเล่นเพื่อที่จะเป็นเหตุจูงใจให้ผู้อื่น<br>มาเข้าร่วมปาร์ตี้เอง หากมีก็มาเขียนใส่ลงไปกันเถอะ<br>เช่น [เล่นวนไปเรื่อยๆ ] [ถอนตัวกลางคันก็ OK]"""
text105#0,"""- ข้อควรระวังในขณะที่เรียก Partner ออกมา<br> ในกรณีที่เรียก Partner ออกมาเข้าร่วมปาร์ตี้เรียบร้อยแล้ว 3 คน<br> จะทำให้ผู้เล่นท่านอื่นๆ ไม่สามารถเข้าร่วมกับปาร์ตี้ของท่านได้<br> หากอยากจะเล่นแบบปาร์ตี้ ให้เรียก Partner ออกมาแค่ 2 คน<br> และเขียนรายละเอียดปาร์ตี้ว่า<br> [หากมีคนมาเพิ่มจะเอา Partner ออก] เป็นต้น<br> เอาไว้กันเถอะ"""
text01#1,"""おれはソロで動いてることが多いから<br>なんていうか、パーティーでの動き方が<br>しっくりこない、というかわからない。"""
