name_7405#0,"""シュラフト"""
ssn_015220_0001#0,"""よし、やる気があるようだな。<br>さっそく説明していこう。"""
ssn_015220_0002#0,"""キミはトレイニアアドバンスのひとつ。<br>“オーディナルタワー”を知っているか？"""
ssn_015220_0003#0,"""トレイニアアドバンスは、<br>文字どおり上位のトレイニアだ。"""
ssn_015220_0004#0,"""各施設ごとに、その訓練内容は大きく異なる。"""
ssn_015220_0005#0,"""なかでも、“オーディナルタワー”は、<br>そのフィールドに特徴がある。"""
ssn_015220_0006#0,"""通常のトレイニアの空間のほかに、<br>ハルファ各地の地形が、仮想空間上に再現される。"""
ssn_015220_0007#0,"""そのなかで、強力なエネミーと対峙するのだ。"""
ssn_015220_0008#0,"""さらに、より素早く、<br>確実に仕留めることが求められる。"""
ssn_015220_0009#0,"""純粋に、キミのアークスとしての実力が、<br>試されるというわけだ。"""
ssn_015220_0010#0,"""装備を整えて、挑んでみてくれ！"""
