ssc_501050_0010#0,"""わっ！"""
ssc_501050_0020#0,"""ああ、<%me>か。<br>よかった……。"""
ssc_501050_0030#0,"""今まで、レゾルの森にいたんだけどさ、<br>やっぱりひとりだと大変。"""
ssc_501050_0040#0,"""エネミーも強いし、<br>どこから襲われるかわからないから。"""
ssc_501050_0050#0,"""それに、あの雰囲気が、<br>こわ……じゃなくて、慣れなくて……さ。"""
ssc_501050_0060#0,"""でも、初めてレゾルの森に行ったときよりは、<br>うまく戦えるようになったよ。"""
ssc_501050_0070#0,"""あのときは、本当は不安でいっぱいで、<br>ふたりについていくのがやっとだったから。"""
ssc_501050_0080#0,"""どこをどう歩いたのかも、<br>あんまり覚えてないし……。"""
ssc_501050_0090#0,"""だけど、あの戦いを乗り越えたおかげで、<br>一回り成長できた気がする。"""
ssc_501050_0100#0,"""本当に、<br><%me>とマノンのおかげだよ。"""
ssc_501050_0110#0,"""三人で戦うって約束したからね。"""
ssc_501050_0120#0,"""アイナひとりじゃ、心配だからね。"""
ssc_501050_0130#0,"""うん。そうだよね。<br>ありがとう。"""
ssc_501050_0140#0,"""そんな、お父さんみたいなこと言って。"""
ssc_501050_0150#0,"""でも、うれしいよ。<br>ありがとう。"""
ssc_501050_0160#0,"""ネクス・エアリオが現れて、<br>ブルーダーが行方不明になったって聞いたとき……。"""
ssc_501050_0170#0,"""あたし、助けたいっていう気持ちだけで、<br>手を挙げたんだ。"""
ssc_501050_0180#0,"""相手がどんな敵かも、<br>レゾルの森がどんなところかも知らないのに。"""
ssc_501050_0190#0,"""だけど、ふたりがすぐにうなずいてくれたから、<br>勇気をもらえたんだ。"""
ssc_501050_0200#0,"""どんな敵が相手でも、<br>キミとマノンと一緒なら、絶対に立ち向かえるって。"""
ssc_501050_0210#0,"""……お父さんは、あたしのこと、<br>「お前は考えなしに行動しすぎだ」ってよく怒ってた。"""
ssc_501050_0220#0,"""でも、「考えすぎて、なにもしないヤツよりはマシだ」って、<br>褒めてくれたりもした。"""
ssc_501050_0230#0,"""たぶん、それがあたしの<br>人となりなんだと思う。"""
ssc_501050_0240#0,"""ねえ、<%me>。<br>もし、あたしが本当に無茶しそうになったら、止めてくれる？"""
ssc_501050_0250#0,"""キミとマノンが止めてくれるなら、<br>あたしは安心して前だけ見てられるからさ。"""
ssc_501050_0260#0,"""わかった。"""
ssc_501050_0270#0,"""無茶はダメだ。"""
ssc_501050_0280#0,"""うん。お願いだよ。"""
ssc_501050_0290#0,"""もしも！\u3000もしもの話。"""
ssc_501050_0300#0,"""また、周りが<br>見えなくなっちゃうかもしれないからさ。"""
ssc_501050_0310#0,"""これからも頼りにさせてもらうからね。"""
ssc_501050_0320#0,"""よろしくね。"""
