name_7707#0,"""마린"""
ssn_014334_0001#0,"""린체한테 이야기 들었어.<br>테임즈의 고기를 주러 온 거지?"""
ssn_014334_0101#0,"""샷키 리테나 고기를 10개 준다"""
ssn_014334_0102#0,"""그만둔다"""
ssn_014334_0201#0,"""고마워~.<br>소중히 쓸게."""
ssn_014334_0202#0,"""어, 조금 부족할 거 같은데…….<br>미안하지만, 좀 더 모아와 줄 수 있어?"""
ssn_014334_0203#0,"""어머……그래.<br>다음번엔 꼭 부탁해."""
ssn_014334_0301#0,"""아이고, 고생 많았어.<br>덕분에 이제 기운 나는 요리를 만들 수 있겠어."""
ssn_014334_0302#0,"""그럼, 바로 일해 볼까."""
ssn_014334_0401#0,"""아이고, 고생 많았어.<br>덕분에 이제 기운 나는 요리를 만들 수 있겠어."""
ssn_014334_0402#0,"""그럼, 바로 일해 볼까."""
ssn_014334_0501#0,"""괜찮아?<br>피곤하진 않고?"""
ssn_014334_0502#0,"""배고파지면,<br>뭐 맛있는 거라도 해줄게."""
