name_7440#0,"""ハツカリ"""
ssn_015610_0001#0,"""よう！<br>今日も頑張ってるか？"""
ssn_015610_0002#0,"""スティアの奥まで攻め込んで、<br>戦いがラクになるかと思ったんだが……。"""
ssn_015610_0003#0,"""なんだか、前より、<br>忙しくなってる気がすんだよな。"""
ssn_015610_0004#0,"""なんにせよ、<br>これからも協力して、乗り越えていこうぜ。"""
ssn_015610_0101#0,"""おうおう！<br>いいところに来たな。"""
ssn_015610_0102#0,"""強敵を倒したってのに、<br>ぜんぜん戦いがラクにならねぇ。"""
ssn_015610_0103#0,"""まあ、うちの隊は、<br>みんなヤル気だからいいんだけどよ。"""
ssn_015610_0104#0,"""今の任務は、<br>デクストベースのエネミー掃討。"""
ssn_015610_0105#0,"""あそこがまた、<br>敵の数が多いのなんの。"""
ssn_015610_0106#0,"""どうだ？<br>よければ、ちょっと手伝ってくんねぇか？"""
ssn_015610_0201#0,"""相手は、デクストベースのエネミーだ。<br>頼んだぜ？"""
ssn_015610_0202#0,"""敵の力と、自分の力、<br>しっかり見極めて対処してくれ。"""
ssn_015610_0301#0,"""なんだ、忙しいのか。<br>まぁ、いろんなところで頼られてそうだからな。"""
ssn_015610_0401#0,"""スティアの戦いは、<br>まだまだラクにならねぇな。"""
ssn_015610_0402#0,"""でも、お前のおかげで、<br>思ってたよりはラクになってる。"""
ssn_015610_0403#0,"""つまり、プラマイゼロってわけだな。<br>はっはっはっ！"""
ssn_015610_0404#0,"""これからも、<br>お前の活躍、期待してるぜ！"""
