name010#0,"""アイナ"""
text010#0,"""あたしたちの町に案内するね。<br>詳しい話はそこで。"""
text020#0,"""向こうの崖まで、歩いて行けるかな？"""
Text_Move_Pad#0,"""移動："""
Text_Move_Key#0,"""前後移動："""
Text_Move_Key2#0,"""左右移動："""
Text_Jump#0,"""ジャンプ："""
Text_DoubleJump#0,"""二段ジャンプ："""
Text_Sight#0,"""カメラ操作："""
Button_Move_Pad#0,"""<swguidetype T_Moveguide_l>"""
Button_Move_Key#0,"""<%MoveForward><pict 4space><%MoveBack>"""
Button_Move_Key2#0,"""<%MoveLeft><pict 4space><%MoveRight>"""
Button_Jump#0,"""<%Jump>"""
Button_DoubleJump#0,"""<%Jump><pict 4space>の後に再度<pict 4space><%Jump>"""
Button_Sight_Pad#0,"""<swguidetype T_Moveguide_r>"""
Button_Sight_Key#0,"""マウス移動"""
