un_025120_0010#0,"""อ้าวๆ สวัสดีค่า<br>ดูสบายดีนะคะ ดีจังเลย<br>สบายดีก็ดีแล้วล่ะค่ะ"""
un_025120_0020#0,"""ARKS ตอนนี้น่ะกำลังอยู่ในช่วงปฏิรูป<br>ดังนั้นต่อจากนี้ไปจะต้องลำบากยิ่งกว่านี้แน่<br>เพราะฉะนั้นกรุณาดูแลตัวเองดีๆ ด้วยนะค้า?"""
un_025120_0030#0,"""ทั้งเรื่องในอดีต ทั้งเรื่องความลับ<br>เรื่องอะไรต่างๆ อีกเยอะแยะ<br>คงจะถูกเปิดเผยออกมาแน่ๆ เลย"""
un_025120_0040#0,"""ยกตัวอย่างเช่น...... นั่นสินะคะ<br>จะช่วยฟังเรื่องที่ชั้นจะพูดซักเรื่องได้มั้ยค้า?"""
un_025120_0050#0,"""ในอดีตเมื่อนานมาแล้ว <br>มีทารกถือกำเนิดขึ้นมาพร้อมกับ<br>ร่างกายที่อ่อนแอม๊ากมาก"""
un_025120_0060#0,"""นั่นสิคะ......<br>สมมติว่าชื่อ Risa ละกันนะ?"""
un_025120_0070#0,"""Risa น่ะนะคะ มีพลังความสามารถใน<br>การใช้ Photon ที่สุดยอดมากๆ <br>ทว่าร่างกายก็กลับตามความสามารถนั้นไม่ได้"""
un_025120_0080#0,"""เรื่องนั้นสำหรับ ARKS แล้ว<br>เป็นเรื่องอะไรที่น่าเสียดายม๊ากมากเลยล่ะค่ะ"""
un_025120_0090#0,"""ทั้งๆ ที่มีพรสวรรค์ แต่กลับใช้มันไม่ได้<br>เรื่องแบบนั้น ไม่มีทางยอมเด็ดขาดเลย"""
un_025120_0100#0,"""......ดังนั้นในวันรุ่งขึ้น Risa ก็เลย<br>กลายเป็น Cast ไปอย่างเปิดเผย<br>เป็นการตัดสินใจแปลงร่างภายในวันเดียวเลยนะคะ!"""
un_025120_0110#0,"""และเมื่อได้ร่างกายที่แข็งแรงมาอยู่ในมือ <br>พรสวรรค์ที่มีอยู่ก็โดดเด่นขึ้นมาอย่าง<br>สมบูรณ์แบบเลยล่ะค่า"""
un_025120_0120#0,"""ตรงจุดนั้น มันมีความตั้งใจของ Risa อยู่รึเปล่า<br>เรื่องนั้น Risa เองก็ไม่รู้ค่ะ"""
un_025120_0130#0,"""เพราะทุกโค้น ทุกคนเองก็ไม่รู้หรอกนะคะ<br>ว่าก่อนที่จะมาเป็น Cast  ตัวเองเคยเป็น<br>อะไรยังไงมาก่อน"""
un_025120_0140#0,"""แต่ว่าๆ ถึงจะเป็นแบบนั้น แต่เพราะ<br>ทุกคนรวมพลังและพยายามร่วมกัน<br>ถึงได้ทำให้มียุคสมัยแบบนี้ขึ้นมาได้"""
un_025120_0150#0,"""สภาพการณ์แบบนี้จะเป็นเรื่องที่มี<br>ความสุขหรือไม่ สุดท้ายแล้วก็ขึ้นอยู่<br>กับการตัดสินของเจ้าตัวเค้าล่ะนะคะ"""
un_025120_0160#0,"""เพราะฉะนั้น Risa ถึงได้พูดอยู่เสมอๆ ยังไงล่ะคะ<br>ว่าถ้าไม่สนุกก็เสียดายแย่ น่ะ<br>คิกๆ คิกๆๆๆๆๆ"""
un_025120_0170#0,"""เอาล่ะๆ Risa ขอตัวก่อนล่ะนะค้า"""
un_025120_0010#1,"""あらあらどうもこんにちわあ。<br>元気ですねえ、いいですねえ。<br>元気そうで何よりです。"""
un_025120_0020#1,"""アークスは今、変革の最中にあって<br>これからもおっと大変になります。<br>お体は大切にして下さいねえ？"""
un_025120_0030#1,"""過去のこととか秘密のこととか<br>いろいろたくさんいーっぱい<br>表に出てくるでしょうしねえ。"""
un_025120_0040#1,"""たとえば……そうですねえ。<br>ひとつお話聞いてもらえますかあ？"""
un_025120_0050#1,"""むかしむかし、あるところに<br>生まれながらに身体のよわーい<br>赤子がいましたあ。"""
un_025120_0060#1,"""そうですね……<br>名前を仮に、リサとしましょうかねえ？"""
un_025120_0070#1,"""リサはですねえ、フォトンを扱う力は<br>すごかったんですが、身体がまったく<br>ついていけそうになかったんです。"""
un_025120_0080#1,"""それはアークスにとって、とーっても<br>もったいないことだったんです。"""
un_025120_0090#1,"""才能があるのに、使えないなんて<br>そんなことは決して、許されない。"""
un_025120_0100#1,"""……ですから次の日、リサは晴れて<br>キャストになっていました。<br>一日で即断即決大変身、ですよお！"""
un_025120_0110#1,"""強靱な身体を手に入れて<br>持ちうる才を完全発揮、ですねえ。"""
un_025120_0120#1,"""そこにリサの意志があったのか。<br>そんなの、リサは知りません。"""
un_025120_0130#1,"""みんな、みーんな、キャストになる前<br>自分がなんだったのかは<br>わからないんですからねえ。"""
un_025120_0140#1,"""でもでもそれでも、皆さんが<br>力を合わせて頑張ったからこそ<br>今の時代もあるわけです。"""
un_025120_0150#1,"""そういった境遇が幸せなのか<br>はたまた不幸なのかは、結局のところ<br>本人が決めるしかないんでしょうねえ。"""
un_025120_0160#1,"""だから、リサはいつでも言いますよお。<br>楽しまなきゃ損です、ってねえ。<br>ふふっ、うふふふふっ。"""
un_025120_0170#1,"""ではでは、ではではでは。"""
