st_065110_0330#0,"""<%me>！"""
st_065110_0331#0,"""ばか……！"""
st_065110_0332#0,"""ばか…………ッ！"""
st_065110_0340#0,"""そういうの、駄目って言ったじゃない！<br>ふたりで、約束したじゃない！"""
st_065110_0350#0,"""どっちかを残していくのは……<br>絶対に駄目だって、言ったじゃないッ！"""
st_065110_0360#0,"""……許さない。<br>絶対に許さない。"""
st_065110_0370#0,"""そうしないと<br>歴史が紡がれないんだとしても……"""
st_065110_0380#0,"""そうじゃないと<br>歴史の否定になるのだとしても……"""
st_065110_0390#0,"""……わたしは、あなたを行かせない！"""
st_065110_0400#0,"""これで終わりだなんて、言わせない……！<br>そんな勝手……絶対に、ぜったいに<br>許さないんだからぁっ！"""
st_065110_0410#0,"""……そう、その通りだ。"""
st_065110_0420#0,"""シオン……さん……？"""
st_065110_0430#0,"""それが、歴史の否定……<br>アカシックレコードの……<br>わたしの存在否定になろうとも。"""
st_065110_0440#0,"""<%me>のいない世界など<br>あっては、ならない！"""
