11_voice_NPC_5087_100#0,"""อ้าว มาพอดีเลย!"""
Azanami_favs_before_020#0,"""พี่สาวคนนี้มีของฝากมาให้นะจ๊า!<br>อ่ะ รับไปสิรับไปเลย!"""
Azanami_favs_after_010#0,"""ไม่ต้องขอบใจหรอก<br>ก็ช่วยชั้นไว้ตั้งหลายเรื่องนี่นา"""
Azanami_favs_after_020#0,"""ไปก่อนนะ ไว้เจอกัน"""
11_voice_NPC_5087_100#1,"""おやっ、いいところに！"""
Azanami_favs_before_020#1,"""おねーさんからのプレゼントだよ！<br>ほら、もってけもってけーっ！"""
Azanami_favs_after_010#1,"""お礼なんていらないいらない。<br>いつも世話になってるからね。"""
Azanami_favs_after_020#1,"""それじゃ、またね。"""
Azanami_favs_present_010#0,"""Azanami มอบ [Asagiri Rendan] ให้กับท่าน"""
Azanami_favs_present_020#0,"""Azanami มอบ [Gekka Zakuro] ให้กับท่าน"""
Azanami_favs_present_030#0,"""Azanami มอบ [Element Synthesizer] ให้กับท่าน"""
Azanami_favs_present_040#0,"""Azanami มอบ [Kanran Kikyou] ให้กับท่าน"""
Azanami_favs_present_050#0,"""Azanami มอบ [Element Synthesizer] ให้กับท่าน"""
Azanami_favs_present_060#0,"""Azanami มอบ [Sakura End] ให้กับท่าน"""
Azanami_favs_present_070#0,"""Azanami มอบ [Element Synthesizer] ให้กับท่าน"""
Azanami_favs_present_080#0,"""Azanami มอบ [Hien Tsubaki] ให้กับท่าน"""
Azanami_favs_present_090#0,"""Azanami มอบ [Element Synthesizer] ให้กับท่าน"""
Azanami_favs_present_100#0,"""Azanami มอบ [Tsukimi Sazanka] ให้กับท่าน"""
Azanami_favs_present_010#1,"""アザナミから『アサギリレンダン』を受け取りました。"""
Azanami_favs_present_020#1,"""アザナミから『ゲッカザクロ』を受け取りました。"""
Azanami_favs_present_030#1,"""アザナミから『シンセサイザー』を受け取りました。"""
Azanami_favs_present_040#1,"""アザナミから『カンランキキョウ』を受け取りました。"""
Azanami_favs_present_050#1,"""アザナミから『シンセサイザー』を受け取りました。"""
Azanami_favs_present_060#1,"""アザナミから『サクラエンド』を受け取りました。"""
Azanami_favs_present_070#1,"""アザナミから『シンセサイザー』を受け取りました。"""
Azanami_favs_present_080#1,"""アザナミから『ヒエンツバキ』を受け取りました。"""
Azanami_favs_present_090#1,"""アザナミから『シンセサイザー』を受け取りました。"""
Azanami_favs_present_100#1,"""アザナミから『ツキミサザンカ』を受け取りました。"""
Alice_01_10#0,"""อื๋อ? ทำไมชั้นถึงได้คิดก่อตั้ง<br>Samurai ขึ้นมาน่ะเหรอ?"""
Alice_01_20#0,"""เรื่องมันเริ่มต้นที่ว่าชีวิตไม่ได้โรยด้วยกลีบกุหลาบ......<br>อ๊ะ เรื่องนั้นช่างมันเถอะ ถ้าจะพูดให้เข้าใจง่ายๆ ก็คือ<br>เพราะว่าความเหมาะสมของชั้นมันแปลกยังไงล่ะ"""
Alice_01_30#0,"""Hunter ก็ไม่ใช่ Ranger ก็ไม่เชิง<br>ดูเหมือนจะสามารถทำได้ทั้งคู่<br>แต่ไม่ว่าทางไหนก็ได้แค่ครึ่งๆ กลางๆ"""
Alice_01_40#0,"""แต่เพราะความเหมาะสมเองก็ไม่ได้อ่อนมาก <br>เมื่อเป็นอย่างนี้ก็สู้สร้าง Class ที่เหมาะสมกับ<br>ตัวเองพอดีขึ้นมาเองเลยจะดีกว่า น่ะนะ"""
Alice_01_50#0,"""แต่ก็นะ แรกเริ่มเดิมทีก็แค่ขอยืมโครงสร้าง<br>ของ Class ใหม่ที่ Regius เคยเสนอ<br>มาสร้างอีกครั้งให้สำเร็จขึ้นมาก็เท่านั้นแหละ"""
Alice_01_60#0,"""Regius เป็นคนออกไอเดียเรื่อง Katana<br>ส่วนชั้นก็เป็นคนออกไอเดียเรื่อง Bullet Bow"""
Alice_01_70#0,"""เพื่อการใช้ทั้งสองอย่างสมบูรณ์แบบ<br>ตอนนี้ชั้นก็เลยฝึกใช้ Katana อยู่ไงล่ะ<br>แหม ก็พี่สาวคนนี้น่ะเป็นคนขยันนี่นะ"""
Alice_01_10#1,"""んー？\u3000わたしがどうして<br>ブレイバーなんてのを新設しようと<br>思ったか、って？"""
Alice_01_20#1,"""そこに至るまでには紆余曲折が……<br>って、それはさておき、簡単にいうと<br>わたしがヘンな適性だったから、だよ。"""
Alice_01_30#1,"""ハンターでもなく、レンジャーでもない<br>どっちもできそうだけど、どっちを<br>やるにも中途半端って感じでさ。"""
