Title#0,"""Phongalph Subdual"""
Explanation#0,"""Reports are streaming in that Phongalphs<br>on Naberius have gone berserk, and are leading<br>a large Galph force in attacks against ARKS ops.<br>To perform our research safely these tainted<br>Phongalphs must be defeated."""
Title#1,"""フォンガルフ討伐"""
Explanation#1,"""惑星ナベリウスに居住するフォンガルフが<br>凶暴化し、ガルフを多数引き連れて<br>アークスに襲いかかってくるという<br>報告が後を絶たない。<br>安全な調査を行うためにも、凶暴化した<br>フォンガルフの撃退を依頼する。"""
SimpleExplanation#0,"""Defeat the Phongalphs!"""
SimpleExplanation#1,"""フォンガルフを討伐せよ！"""
a1#0,"""Completion of certain client requests"""
a2#0,"""Completion of certain client requests"""
a3#0,"""Possession of Super Hard License"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
