text00#0,"""このクエストについて"""
text10#0,"""『累計ポイント報酬』について"""
text20#0,"""テーマ：『工作戦』について"""
text30#0,"""テーマ：『補充戦』について"""
text40#0,"""テーマ：『殲滅戦』について"""
text50#0,"""テーマ：『討伐戦』について"""
text100#0,"""戻る"""
Title#0,"""このクエストについて"""
text0001#0,"""「ディバイドクエスト」は<br>５つのステップを踏破することが目的となります。<br><br>クエスト失敗に関わる「<yellow>ライフ<c>」と<br>報酬に関わる「<yellow>ディバイドポイント<c>」を<br>管理しつつ、５ステップを踏破しましょう。<br><br>各ステップのクリア時にリザルトが算出され<br>全５ステップを高リザルトランクでクリアできると<br>より難度の高く、その分報酬も良い<br>次の５ステップが開放されます。"""
text0101#0,"""「ディバイドクエスト」は<br>５つのステップを踏破することが<br>目的となります。<br><br>クエスト失敗に関わる「<yellow>ライフ<c>」と<br>報酬に関わる「<yellow>ディバイドポイント<c>」を<br>管理しつつ、５ステップを踏破しましょう。<br><br>各ステップのクリア時にリザルトが算出され<br>全５ステップを高リザルトランクでクリアできると<br>より難度の高く、その分報酬も良い<br>次の５ステップが開放されます。"""
text0002#0,"""<yellow>「ライフ」はパーティーで共有となり<br>残数０になった時点でクエスト失敗となります。<c><br><br>ライフの減少条件は以下の通りです。<br><yellow>・いずれかのパーティーメンバーの戦闘不能<br><br>各ステップで手に入る「ディバイドポイント」は<br>ステップ５のクリア時に、精算/獲得します。<br><br>週間で獲得した累計ポイントに応じて<br>報酬が貰えるので何度も挑戦してみてください。"""
text0102#0,"""<yellow>「ライフ」はパーティーで共有となり<br>残数０になった時点でクエスト失敗となります。<c><br><br>ライフの減少条件は以下の通りです。<br><yellow>・いずれかのパーティーメンバーの戦闘不能<br><br>各ステップで手に入る「ディバイドポイント」は<br>ステップ５のクリア時に、精算/獲得します。<br><br>週間で獲得した累計ポイントに応じて<br>報酬が貰えるので<br>何度も挑戦してみてください。"""
text0003#0,"""各ステップでは２つの「ルート」から<br>いずれか１つを選択します。<br>選択したルートのリザルトランクに<br>応じてボーナスがあります。<br><br><c 00ffff>■ポイントルート<c><br>\u3000追加のディバイドポイントが獲得できます。<br><br><c 00ffff>■ライフルート<c><br>\u3000ライフが回復します。<br><br>自身のパーティーの状況に応じて<br>適切なルートを選択してください。"""
Title#1,"""『累計ポイント報酬』について"""
text0001#1,"""「ディバイドクエスト」において獲得できる<br>「<yellow>ディバイドポイント<c>」は<c 00ff00>ステップ５のクリア時に<br>キャラクターごとに精算/獲得します。<c><br><br>獲得したポイントが<br>一定値に到達するごとに<br>報酬が運営倉庫に送られます。<br>※ポイントの獲得状況や報酬一覧は<br>\u3000メインメニューの「コンテンツ情報」から<br>\u3000確認可能です。"""
text0102#1,"""また、特定条件で５ステップをクリアできると<br>より高難度のステップが解放されますが<br>この解放状況と獲得ポイント及び<br>報酬獲得状況は<br><red>毎週水曜１３時にリセットされます。<c><br>※称号の取得に関わるポイントの集計状態は<br>\u3000リセットされません。<br><br>難しいステップは獲得ポイント量も<br>多くなりますが途中で失敗するとポイントは<br>入手できないので自身の実力に合うステップで<br>プレイしてください。<br><br>※このチュートリアルはメインメニューの<br>\u3000「インフォメーション」からも確認可能です。"""
text0002#1,"""また、特定条件で５ステップをクリアできると<br>より高難度のステップが解放されます。<br><br>なお、獲得ポイント及び報酬獲得状況は<br><red>毎週水曜１３時にリセットされます。<c><br>※称号の取得に関わるポイントの集計状態は<br>\u3000リセットされません。<br><br>難しいステップは獲得ポイント量も多くなりますが<br>途中で失敗するとポイントは入手できないので<br>自身の実力に合うステップでプレイしてください。<br><br>※このチュートリアルはメインメニューの<br>\u3000「インフォメーション」からも確認可能です。"""
Title#2,"""テーマ：『工作戦』について"""
text0001#2,"""テーマ：「工作戦」は<br>ディバイドポイントを入手しつつ<br>「<yellow>仮想装置<c>」を停止させることが<br>目的となっています。<br><br><c 00ffff>■クリア条件<c><br>\u3000脱出用テレパイプを起動し、エリアから脱出する<br><br><c 00ffff>■リザルトの評価要素<c><br>\u3000エリアの調査進行率<br><br>※調査進行率は「ディバイドポイント」を<br>\u3000獲得することで上昇します。"""
text0101#1,"""テーマ：「工作戦」は<br>ディバイドポイントを入手しつつ<br>「<yellow>仮想装置<c>」を停止させることが<br>目的となっています。<br><br><c 00ffff>■クリア条件<c><br>\u3000脱出用テレパイプを起動し、<br>\u3000エリアから脱出する<br><br><c 00ffff>■リザルトの評価要素<c><br>\u3000エリアの調査進行率<br><br>※調査進行率は「ディバイドポイント」を<br>\u3000獲得することで上昇します。"""
text0002#2,"""ディバイドポイントは<br>主に以下の条件で獲得することができます。<br><yellow>・エネルギー結晶の回収<br>・エネミーの撃破<c><br><br>一定ポイントを集めるごとに<br>フィールド上のどこかに「<yellow>仮想装置<c>」が<br>出現するので、探し出して停止させることで<br>プレイヤーにバフが掛かるなどの恩恵があるほか<br>エリア２で追加の報酬が手に入ります。<br><br>「<yellow>仮想装置の停止<c>」はリザルトに関わりませんが<br>見つけたら停止させておくと良いでしょう。"""
text0102#2,"""ディバイドポイントは<br>主に以下の条件で獲得することができます。<br><yellow>・エネルギー結晶の回収<br>・エネミーの撃破<c><br><br>一定ポイントを集めるごとに<br>フィールド上のどこかに「<yellow>仮想装置<c>」が<br>出現するので、探し出して停止させることで<br>プレイヤーにバフが掛かるなどの恩恵がある<br>ほかエリア２で追加の報酬が手に入ります。<br><br>「<yellow>仮想装置の停止<c>」はリザルトに関わりませんが<br>見つけたら停止させておくと良いでしょう。"""
