Title#0,"""無限連戦：永遠の輪舞"""
Explanation#0,"""「無限連戦：追憶の彼方へ」に続く<br>アークス用の訓練プログラム第二弾です。<br>各惑星の舞台に用意されたミッションに<br>新たな要素を加えた高度な訓練です。<br>制限時間内に全てを達成するのは困難ですが<br>好成績を目指してください。<br>――――――――――――――――――――<br>目標／ハイスコアの獲得<br>最大与ダメージ制限／999999"""
SimpleExplanation#0,"""制限時間内により多くのスコアを獲得せよ！"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
Area0S#0,"""ＶＲ幻惑の森"""
Area0L#0,"""アークスシップ\u3000ＶＲ空間(幻惑の森)"""
Area1S#0,"""ＶＲ市街地"""
Area1L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area2S#0,"""ＶＲ龍祭壇"""
Area2L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area3S#0,"""ＶＲ遺跡"""
Area3L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area4S#0,"""ＶＲ海岸"""
Area4L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area5S#0,"""ＶＲ峡谷"""
Area5L#0,"""アークスシップ\u3000ＶＲ空間(峡谷)"""
Area6S#0,"""ＶＲ採掘場跡"""
Area6L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area7S#0,"""ＶＲ浮上施設"""
Area7L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area8S#0,"""ＶＲ白ノ領域"""
Area8L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area9S#0,"""ＶＲ浮上施設"""
Area9L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area10S#0,"""ＶＲ壊世区域\u3000地下坑道"""
Area10L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000地下坑道)"""
Area11S#0,"""ＶＲ採掘基地"""
Area11L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area12S#0,"""ＶＲ東京"""
Area12L#0,"""アークスシップ\u3000ＶＲ空間(東京)"""
Area13S#0,"""ＶＲラスベガス"""
Area13L#0,"""アークスシップ\u3000ＶＲ空間(ラスベガス)"""
Area14S#0,"""ＶＲ壊世区域\u3000火山洞窟"""
Area14L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000火山洞窟)"""
Area15S#0,"""ＶＲ黒ノ領域"""
Area15L#0,"""アークスシップ\u3000ＶＲ空間(黒ノ領域)"""
Area16S#0,"""ＶＲ火山洞窟"""
Area16L#0,"""アークスシップ\u3000ＶＲ空間(火山洞窟)"""
Area17S#0,"""ＶＲ採掘基地"""
Area17L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area18S#0,"""ＶＲ海底"""
Area18L#0,"""アークスシップ\u3000ＶＲ空間(海底)"""
Area19S#0,"""ＶＲ月面\u3000"""
Area19L#0,"""アークスシップ\u3000ＶＲ空間(月面)"""
Area20S#0,"""ＶＲ市街地"""
Area20L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area21S#0,"""ＶＲ魔神城周辺\u3000"""
Area21L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
Area22S#0,"""ＶＲ壊世区域\u3000森林\u3000"""
Area22L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000森林)"""
Area23S#0,"""ＶＲ(????)"""
Area23L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area24S#0,"""ＶＲシップ残骸・甲板\u3000"""
Area24L#0,"""アークスシップ\u3000ＶＲ空間(アークスシップ残骸・甲板)"""
Area25S#0,"""ＶＲマザーシップ内部\u3000"""
Area25L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area26S#0,"""ＶＲ浮遊大陸\u3000"""
Area26L#0,"""アークスシップ\u3000ＶＲ空間(浮遊大陸)"""
Area27S#0,"""ＶＲダーカーの巣窟"""
Area27L#0,"""アークスシップ\u3000ＶＲ空間(ダーカーの巣窟)"""
Area28S#0,"""ＶＲ森林\u3000"""
Area28L#0,"""アークスシップ\u3000ＶＲ空間(森林)"""
Area29S#0,"""ＶＲアリーナ\u3000森林\u3000"""
Area29L#0,"""アークスシップ\u3000ＶＲ空間(ＶＲアリーナ\u3000森林)"""
Area30S#0,"""ＶＲ地下坑道\u3000"""
Area30L#0,"""アークスシップ\u3000ＶＲ空間(地下坑道)"""
Area31S#0,"""ＶＲ揚陸艇"""
Area31L#0,"""アークスシップ\u3000ＶＲ空間(揚陸艇)"""
Area32S#0,"""ＶＲ白ノ大城塞\u3000"""
Area32L#0,"""アークスシップ\u3000ＶＲ空間(白ノ大城塞)"""
Area33S#0,"""ＶＲ日本近海\u3000"""
Area33L#0,"""アークスシップ\u3000ＶＲ空間(日本近海)"""
Area34S#0,"""ＶＲエピック砂漠"""
Area34L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠)"""
Area35S#0,"""ＶＲクエント東部の平原"""
Area35L#0,"""アークスシップ\u3000ＶＲ空間(クエント東部の平原)"""
Area36S#0,"""ＶＲヴェルン荒野"""
Area36L#0,"""アークスシップ\u3000ＶＲ空間(ヴェルン荒野)"""
Area37S#0,"""ＶＲクエント城玉座の間"""
Area37L#0,"""アークスシップ\u3000ＶＲ空間(クエント城\u3000玉座の間)"""
Area38S#0,"""ＶＲエピック砂漠北の砦"""
Area38L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠\u3000北の砦)"""
Area39S#0,"""ＶＲルイーザの湖畔"""
Area39L#0,"""アークスシップ\u3000ＶＲ空間(ルイーザの湖畔)"""
Area40S#0,"""ＶＲ(????)"""
Area40L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area41S#0,"""ＶＲ峡谷の花園"""
Area41L#0,"""アークスシップ\u3000ＶＲ空間(峡谷の花園)"""
Area1000S#0,"""ＶＲ幻惑の森"""
Area1000L#0,"""アークスシップ\u3000ＶＲ空間(幻惑の森)"""
Area1001S#0,"""ＶＲ市街地"""
Area1001L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area1002S#0,"""ＶＲ龍祭壇"""
Area1002L#0,"""アークスシップ\u3000ＶＲ空間(龍祭壇)"""
Area1003S#0,"""ＶＲ遺跡"""
Area1003L#0,"""アークスシップ\u3000ＶＲ空間(遺跡)"""
Area1004S#0,"""ＶＲ海岸"""
Area1004L#0,"""アークスシップ\u3000ＶＲ空間(海岸)"""
Area1005S#0,"""ＶＲ峡谷"""
Area1005L#0,"""アークスシップ\u3000ＶＲ空間(峡谷)"""
Area1006S#0,"""ＶＲ採掘場跡"""
Area1006L#0,"""アークスシップ\u3000ＶＲ空間(採掘場跡)"""
Area1007S#0,"""ＶＲ浮上施設"""
Area1007L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area1008S#0,"""ＶＲ白ノ領域"""
Area1008L#0,"""アークスシップ\u3000ＶＲ空間(白ノ領域)"""
Area1009S#0,"""ＶＲ浮上施設"""
Area1009L#0,"""アークスシップ\u3000ＶＲ空間(浮上施設)"""
Area1010S#0,"""ＶＲ壊世区域\u3000地下坑道"""
Area1010L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000地下坑道)"""
Area1011S#0,"""ＶＲ採掘基地"""
Area1011L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area1012S#0,"""ＶＲ東京"""
Area1012L#0,"""アークスシップ\u3000ＶＲ空間(東京)"""
Area1013S#0,"""ＶＲラスベガス"""
Area1013L#0,"""アークスシップ\u3000ＶＲ空間(ラスベガス)"""
Area1014S#0,"""ＶＲ壊世区域\u3000火山洞窟"""
Area1014L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000火山洞窟)"""
Area1015S#0,"""ＶＲ黒ノ領域"""
Area1015L#0,"""アークスシップ\u3000ＶＲ空間(黒ノ領域)"""
Area1016S#0,"""ＶＲ火山洞窟"""
Area1016L#0,"""アークスシップ\u3000ＶＲ空間(火山洞窟)"""
Area1017S#0,"""ＶＲ採掘基地"""
Area1017L#0,"""アークスシップ\u3000ＶＲ空間(採掘基地)"""
Area1018S#0,"""ＶＲ海底"""
Area1018L#0,"""アークスシップ\u3000ＶＲ空間(海底)"""
Area1019S#0,"""ＶＲ月面\u3000"""
Area1019L#0,"""アークスシップ\u3000ＶＲ空間(月面)"""
Area1020S#0,"""ＶＲ市街地"""
Area1020L#0,"""アークスシップ\u3000ＶＲ空間(市街地)"""
Area1021S#0,"""ＶＲ魔神城周辺\u3000"""
Area1021L#0,"""アークスシップ\u3000ＶＲ空間(魔神城周辺)"""
Area1022S#0,"""ＶＲ壊世区域\u3000森林\u3000"""
Area1022L#0,"""アークスシップ\u3000ＶＲ空間(壊世区域\u3000森林)"""
Area1023S#0,"""ＶＲ(????)"""
Area1023L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area1024S#0,"""ＶＲシップ残骸・甲板\u3000"""
Area1024L#0,"""アークスシップ\u3000ＶＲ空間(アークスシップ残骸・甲板)"""
Area1025S#0,"""ＶＲマザーシップ内部\u3000"""
Area1025L#0,"""アークスシップ\u3000ＶＲ空間(マザーシップ内部)"""
Area1026S#0,"""ＶＲ浮遊大陸\u3000"""
Area1026L#0,"""アークスシップ\u3000ＶＲ空間(浮遊大陸)"""
Area1027S#0,"""ＶＲダーカーの巣窟"""
Area1027L#0,"""アークスシップ\u3000ＶＲ空間(ダーカーの巣窟)"""
Area1028S#0,"""ＶＲ森林\u3000"""
Area1028L#0,"""アークスシップ\u3000ＶＲ空間(森林)"""
Area1029S#0,"""ＶＲアリーナ\u3000森林\u3000"""
Area1029L#0,"""アークスシップ\u3000ＶＲ空間(ＶＲアリーナ\u3000森林)"""
Area1030S#0,"""ＶＲ地下坑道\u3000"""
Area1030L#0,"""アークスシップ\u3000ＶＲ空間(地下坑道)"""
Area1031S#0,"""ＶＲ揚陸艇"""
Area1031L#0,"""アークスシップ\u3000ＶＲ空間(揚陸艇)"""
Area1032S#0,"""ＶＲ白ノ大城塞\u3000"""
Area1032L#0,"""アークスシップ\u3000ＶＲ空間(白ノ大城塞)"""
Area1033S#0,"""ＶＲ日本近海\u3000"""
Area1033L#0,"""アークスシップ\u3000ＶＲ空間(日本近海)"""
Area1034S#0,"""ＶＲエピック砂漠"""
Area1034L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠)"""
Area1035S#0,"""ＶＲクエント東部の平原"""
Area1035L#0,"""アークスシップ\u3000ＶＲ空間(クエント東部の平原)"""
Area1036S#0,"""ＶＲヴェルン荒野"""
Area1036L#0,"""アークスシップ\u3000ＶＲ空間(ヴェルン荒野)"""
Area1037S#0,"""ＶＲクエント城玉座の間"""
Area1037L#0,"""アークスシップ\u3000ＶＲ空間(クエント城\u3000玉座の間)"""
Area1038S#0,"""ＶＲエピック砂漠北の砦"""
Area1038L#0,"""アークスシップ\u3000ＶＲ空間(エピック砂漠\u3000北の砦)"""
Area1039S#0,"""ＶＲルイーザの湖畔"""
Area1039L#0,"""アークスシップ\u3000ＶＲ空間(ルイーザの湖畔)"""
Area1040S#0,"""ＶＲ(????)"""
Area1040L#0,"""アークスシップ\u3000ＶＲ空間(????)"""
Area1041S#0,"""ＶＲ峡谷の花園"""
Area1041L#0,"""アークスシップ\u3000ＶＲ空間(峡谷の花園)"""
