11_voice_NPC_5162_111#0,"""何が知りたいのかな？"""
text01#0,"""『ブラックニャック』って？"""
text02#0,"""『ブラックニャック』の遊び方（基本編）"""
text03#0,"""『ブラックニャック』の遊び方（応用編）"""
text04#0,"""この場を離れる"""
text00#0,"""『ブラックニャック』について"""
text01#1,"""『ブラックニャック』について説明します。<br><br>ブラックニャックは最大５人同時プレイが<br>可能なカジノゲームとなります。<br><br>各テーブルに配置されたディーラーに勝利し<br>カジノコインを増やすゲームです。"""
text02#1,"""手札の合計点が２１点を超えないように<br><red>２１点に近づけるゲームです<c>。<br>ディーラーよりも２１点に近ければ<br>勝利となります。<br>合計点が<red>２１点を超えると負け<c>が確定して<br>ＢＥＴしたカジノコインは没収されます。<br>ディーラーと引き分けた場合は<br>ＢＥＴしたカジノコインが全額払い<br>戻されます。<br><br>配られたカードで勝負に出るのか<br>追加でカードを引くのかが<br>勝敗の分かれ道になります。"""
text03#1,"""カードは、スペード、ハート、クラブ<br>ダイヤのスート４種類、ＡからＫまでの<br>各１３枚ずつの合計５２枚と<br>スペシャルカードで構成されています。<br><br>カードは１ゲーム毎に、シャッフルされます。"""
text04#1,"""『カードの点数・Ａ』<br>Ａ／エースは、１点か１１点となり<br>プレイヤーの任意で選択できます。<br><br>『カードの点数・Ｊ～Ｋ』<br>Ｊ／ジャック、Ｑ／クイーン<br>Ｋ／キングは１０点として計算します。<br><br>※ディーラーは合計点が１６点以下の場合、<br>必ずカードを引きます。<br>１７点以上でカードを引くのをやめますが<br>気まぐれで引いてしまう場合もあります。<br><br>※手札の合計が「21」になると、<br>自動的に「STAY」扱いとなります。"""
text05#0,"""<red>スペシャルカード<c><br><br>サイコロの出目でカードの点数が変動する<br>特殊なカードとなります。<br>サイコロはスペシャルカードが出現する度に<br>振ってカードの点数を決めます。<br>場に複数のスペシャルカードが出た場合は<br>サイコロの出た目が全て加算されます。<br>ディーラーとプレイヤーは<br>振るサイコロが異なり、出目も異なります。<br><br>現在のスペシャルカードの合計点は<br>画面右上に表示されます。"""
text00#1,"""『ブラックニャック』の遊び方（基本編）について"""
text01#2,"""『ブラックニャックの遊び方』<br><br>ブラックニャックは<br>最大５人で遊べるカードゲームで<br>プレイヤーはディーラーと対戦します。<br><br><red><br>フレンドと一緒にプレイしたい時は<br>同じテーブルの座席にアクセスしましょう。<c>"""
