ssc_504090_0010#0,"""お前……、なぜここに。"""
ssc_504090_0020#0,"""ふたりは、どうしてここに？"""
ssc_504090_0030#0,"""そっちこそ、なにをしてるの？"""
ssc_504090_0040#0,"""ヒバナの墓だ。"""
ssc_504090_0050#0,"""ヒバナは、ここで命を落とした。"""
ssc_504090_0060#0,"""ヒバナに、会いにね。"""
ssc_504090_0070#0,"""これは、ヒバナのお墓なんだ。"""
ssc_504090_0080#0,"""まだ、戦いの終わりが、<br>見えたわけじゃない。"""
ssc_504090_0090#0,"""でも、ヴァエルを倒した今……。"""
ssc_504090_0100#0,"""ひとつの区切りとして、<br>彼女に報告をしようと思ってね。"""
ssc_504090_0110#0,"""よければキミも、<br>つき合ってくれないかい？"""
ssc_504090_0120#0,"""ヒバナの死は……、<br>俺たちの未熟さが招いた。"""
ssc_504090_0130#0,"""あの頃の俺たちは、自分の主張をするばかりで、<br>歩み寄ろうとしなかった。"""
ssc_504090_0140#0,"""俺は、すべてを力でねじ伏せようとして、<br>強引な戦いを繰り返していた。"""
ssc_504090_0150#0,"""……僕は、すべての準備が整うまでと、<br>慎重になりすぎていた。"""
ssc_504090_0160#0,"""そんな俺たちに、<br>常に中立の立場で接してくれたのが、ヒバナだ。"""
ssc_504090_0170#0,"""どちらの話も聞いたうえで、<br>自分の意見をはっきりという。"""
ssc_504090_0180#0,"""彼女の発言は、<br>お互いに納得できるものだった。"""
ssc_504090_0190#0,"""……本当に。<br>なぜか、彼女の意見はすんなり受け入れられた。"""
ssc_504090_0200#0,"""ヒバナがいたから、<br>僕たちの関係は均衡を保っていられたんだよ。"""
ssc_504090_0210#0,"""あの日まではな……。"""
ssc_504090_0220#0,"""……うん。"""
ssc_504090_0230#0,"""ニルス・スティアが、<br>エアリオに侵攻してきた日……。"""
ssc_504090_0240#0,"""僕は、部隊をセントラルシティ側に集結させて、<br>防衛線の構築を進めていた。"""
ssc_504090_0250#0,"""その間に、俺の部隊は、<br>敵前へと向かっていた。"""
ssc_504090_0260#0,"""威力偵察のつもりだったが、<br>敵の戦力は想像をはるかに超えるものだった。"""
ssc_504090_0270#0,"""すぐに後退を指示したが、<br>部隊は散り散りになってしまった。"""
ssc_504090_0280#0,"""そのしんがりを務めていたのが、<br>俺とヒバナだった。"""
ssc_504090_0290#0,"""俺は、目の前のドールズに、<br>かかりっきりになり……。"""
ssc_504090_0300#0,"""……その間にヒバナは、<br>ニルス・スティアの攻撃を受けて……。"""
ssc_504090_0310#0,"""あのとき、僕も一緒に行動していれば……。"""
ssc_504090_0320#0,"""いや、俺がお前の忠告を聞いて、<br>各部隊の配置完了を待っていれば……。"""
ssc_504090_0330#0,"""ヒバナも、「この戦いは嫌な予感がする」って、<br>言っていたよね……。"""
ssc_504090_0340#0,"""……そうだったんだ。"""
ssc_504090_0350#0,"""ヒバナ……。"""
ssc_504090_0360#0,"""あとは、キミも知ってのとおりだ。"""
ssc_504090_0370#0,"""僕たちは、自分の考えに固執して、<br>たもとをわかった。"""
ssc_504090_0380#0,"""エアリオとスティアで、<br>別々の戦いを続けていた。"""
ssc_504090_0390#0,"""……その関係に、<br>変化をもたらしたのがキミたちだよ。"""
ssc_504090_0400#0,"""お前や、アイナやマノンは、<br>俺たちに考えを改める機会をくれた。"""
ssc_504090_0410#0,"""そして、ほとんど断絶していた<br>各リージョンの関係を構築するきっかけにもなった。"""
ssc_504090_0420#0,"""今では、すべてのリージョンが一丸となって、<br>目の前の敵に立ち向かっている。"""
ssc_504090_0430#0,"""……いろいろなことが、<br>以前から大きく変わった。"""
ssc_504090_0440#0,"""そういうことを報告しようと思って、<br>ふたりでここに足を運んだんだ。"""
ssc_504090_0450#0,"""ヒバナも喜んでいると思う。"""
ssc_504090_0460#0,"""ヒバナの望んだ関係になれた。"""
ssc_504090_0470#0,"""……ああ。"""
ssc_504090_0480#0,"""……そうだね。"""
