Category_All#0,"""すべて"""
Category_Head#0,"""頭部"""
Category_Face#0,"""顔"""
Category_Body#0,"""体"""
Category_Arm_Right#0,"""右腕"""
Category_Arm_Left#0,"""左腕"""
Category_Waist#0,"""腰"""
Category_Leg_Right#0,"""右脚"""
Category_Leg_Left#0,"""左脚"""
Category_Finger#0,"""指"""
Default#0,"""デフォルト"""
HeadTop#0,"""頭頂"""
EyesRoot#0,"""眉間"""
NoseBridge#0,"""鼻柱"""
JawUpper#0,"""上あご"""
JawLower#0,"""下あご"""
RightEar#0,"""右耳"""
LeftEar#0,"""左耳"""
HeadofHead#0,"""頭の付け根"""
Neck#0,"""首"""
NeckRoot#0,"""首の根本"""
Right_Breast#0,"""右胸"""
Center_Breast#0,"""胸中央"""
Left_Breast#0,"""左胸"""
Spine1#0,"""背骨1"""
Spine2#0,"""背骨2"""
Waist#0,"""腰"""
Crotch#0,"""股"""
Left_Clavicle#0,"""左鎖骨"""
Left_UpperArm1#0,"""左上腕1"""
Left_UpperArm2#0,"""左上腕2"""
Left_ForeArm1#0,"""左前腕1"""
Left_ForeArm2#0,"""左前腕2"""
Left_Hand#0,"""左手"""
Right_Clavicle#0,"""右鎖骨"""
Right_UpperArm1#0,"""右上腕1"""
Right_UpperArm2#0,"""右上腕2"""
Right_ForeArm1#0,"""右前腕1"""
Right_ForeArm2#0,"""右前腕2"""
Right_Hand#0,"""右手"""
Left_Thigh1#0,"""左もも1"""
Left_Thigh2#0,"""左もも2"""
Left_Knee#0,"""左ひざ"""
Left_Ankle#0,"""左足首"""
Right_Thigh1#0,"""右もも1"""
Right_Thigh2#0,"""右もも2"""
Right_Knee#0,"""右ひざ"""
Right_Ankle#0,"""右足首"""
Left_Thumb1#0,"""左親指1"""
Left_Thumb2#0,"""左親指2"""
Left_FirstFinger1#0,"""左人差し指1"""
Left_FirstFinger2#0,"""左人差し指2"""
Left_FirstFinger3#0,"""左人差し指3"""
Left_SecondFinger1#0,"""左中指1"""
Left_SecondFinger2#0,"""左中指2"""
Left_SecondFinger3#0,"""左中指3"""
Left_ThirdFinger1#0,"""左薬指1"""
Left_ThirdFinger2#0,"""左薬指2"""
Left_ThirdFinger3#0,"""左薬指3"""
Left_ForthFinger1#0,"""左小指1"""
Left_ForthFinger2#0,"""左小指2"""
Left_ForthFinger3#0,"""左小指3"""
Right_Thumb1#0,"""右親指1"""
Right_Thumb2#0,"""右親指2"""
Right_FirstFinger1#0,"""右人差し指1"""
Right_FirstFinger2#0,"""右人差し指2"""
Right_FirstFinger3#0,"""右人差し指3"""
Right_SecondFinger1#0,"""右中指1"""
Right_SecondFinger2#0,"""右中指2"""
Right_SecondFinger3#0,"""右中指3"""
Right_ThirdFinger1#0,"""右薬指1"""
Right_ThirdFinger2#0,"""右薬指2"""
Right_ThirdFinger3#0,"""右薬指3"""
Right_ForthFinger1#0,"""右小指1"""
Right_ForthFinger2#0,"""右小指2"""
Right_ForthFinger3#0,"""右小指3"""
Key_DefaultColor#0,"""デフォルトカラー"""
Key_HairColor1#0,"""カラー1"""
Key_HairColor2#0,"""カラー2"""
Key_EyeColor_Right#0,"""右の瞳カラー"""
Key_EyeColor_Left#0,"""左の瞳カラー"""
Key_EyebrowsColor#0,"""カラー"""
