ra_012010_0010#0,"""事態出現了極大的變化。<br>這是你一手促成的<br>也是某種形式的成就。"""
ra_012010_0020#0,"""......就算<br>你本人並不希望這件事發生。"""
ra_012010_0030#0,"""......我們必須謝罪才行。<br>明知事態惡化至此，卻無力改變一切<br>全是因為我們的緣故。"""
ra_012010_0040#0,"""那個事實將會徹底撼動一切。<br>當權者不希望這個事實被傳開<br>正暗地將消息壓下來。"""
ra_012010_0050#0,"""正因為如此，你的責任更是無比重大。<br>你看過這一切，知道所有的內幕。<br>你已經成為關鍵人物了。"""
ra_012010_0055#0,"""你所擁有的經驗，將形塑這個世界。<br>並不是透過修正，而是以累積的方式<br>你將會結交許多知己，也會樹敵無數。"""
ra_012010_0060#0,"""無論如何，我希望你能貫徹初衷<br>憑自己的意志勇往直前。<br>找出前人未能發現的道路。"""
ra_012010_0070#0,"""我們<br>正是為了見證未來<br>才會來到這裡。"""
ra_012010_0080#0,"""A.P.238/4/2"""
al_010090_0010#0,"""……今から四十年以上前<br>わたしと、ギーくんと、リーちゃんは<br>ダークファルス【巨躯】と戦った。"""
al_010090_0020#0,"""結果だけ見れば、アークスの勝ちだよ。<br>相当ボロボロにされちゃったけども<br>……アークスは、勝ったんだ。"""
al_010090_0030#0,"""【巨躯】の力はとんでもなかったよ。<br>あいつの力でナベリウスの地形が変わり<br>凍土が生まれちゃったぐらいだからね。"""
al_010090_0040#0,"""消滅させるのは、不可能だった。<br>だから、【巨躯】を封印したんだ。<br>ナベリウスの大地に縛り付けるように。"""
al_010090_0050#0,"""その時に使ったのが<br>創世器「白錫クラリッサ」……<br>あなたが直してくれた、あの武器だよ。"""
al_010090_0060#0,"""こうして、クラリッサを鍵として<br>【巨躯】は封印された。<br>けど、皆には「撃破した」と伝えた。"""
al_010090_0070#0,"""そこに、いろいろな思惑はあったけど<br>三英雄と祭りあげられた、わたしたちも<br>それでいいと、思ってた。"""
al_010090_0080#0,"""これからも続くダーカーとの戦いで<br>その虚勢の事実が、希望になるなら<br>……優しい嘘も、必要だって。"""
al_010090_0090#0,"""いつか、わたしたちが繋いだ未来の先に<br>ダークファルスを完全に消滅させる手が<br>見つかるって信じてたしね。"""
al_010090_0100#0,"""でも、数十年程度で封印が<br>解除されちゃうなんて<br>思ってもみなかった、かな。"""
al_010090_0110#0,"""しかも、その封印解除は<br>シオンの導きによって成就したと<br>言っても過言じゃないわけ。"""
al_010090_0120#0,"""【巨躯】を復活させる危険を冒してまで<br>叶えたかったシオンの目的……願いって<br>一体、何なんだろう……"""
al_010090_0130#0,"""次の記録も、見てみないと。"""
text01#0,"""<br>獲得萬象盤『偶像的衝突』。<br>"""
