msc_020020_0010#0,"""みんな、集まってくれてありがとう。"""
msc_020020_0020#0,"""……僕たちは、<br>このときのために、今まで準備を進めてきた。"""
msc_020020_0030#0,"""あの日、エアリオタウンを……多くの仲間を、<br>無慈悲な光の刃でこの世界から消し去った……。"""
msc_020020_0040#0,"""ダークファルスを倒すために。"""
msc_020020_0050#0,"""ヤツは今、セントラルキャノンの一撃を受け、<br>位相空間で自己修復中のはずだ。"""
msc_020020_0060#0,"""だが、スティアのドックでなければ、<br>完全な修復はできない。"""
msc_020020_0070#0,"""いずれは、こちらの空間に現れるだろう。"""
msc_020020_0080#0,"""そこを一気に叩く。"""
msc_020020_0090#0,"""完成したセントラルキャノンは、<br>長時間の運用が可能だ。"""
msc_020020_0100#0,"""今の砲身なら、連続した射撃にも耐えられる。"""
msc_020020_0110#0,"""ただ、起動から射撃体勢が整うまでの時間……。"""
msc_020020_0120#0,"""これだけは、どうしても縮めることができなかった。"""
msc_020020_0130#0,"""ダークファルスが現れたら、<br>キミたちにはその足止めをお願いしたい。"""
msc_020020_0140#0,"""キミたちは、多くの困難を乗り越え、<br>今この場に立っている。"""
msc_020020_0150#0,"""ダークファルスは、<br>想像をはるかに超える存在だ。"""
msc_020020_0160#0,"""万全の体制で臨んだとしても、<br>なにが起こるかわからない。"""
msc_020020_0170#0,"""だが、そんな想像を超える“なにか”が起きても……。"""
msc_020020_0180#0,"""今の僕たちなら、乗り越えられると信じている。"""
msc_020020_0190#0,"""エアリオ……。"""
msc_020020_0200#0,"""リテム……。"""
msc_020020_0210#0,"""クヴァリス……。"""
msc_020020_0220#0,"""そして、スティアのアークスが、<br>手をとり合って、ひとつのことに挑もうとしている。"""
msc_020020_0230#0,"""これは、僕たちが知る限り、<br>ハルファの歴史のなかで一度もなかったことだ。"""
msc_020020_0240#0,"""ようやく、僕たちは、<br>ひとつのハルファになることができた。"""
msc_020020_0250#0,"""その関係性を、これからも維持するには……。"""
msc_020020_0260#0,"""なんとしても、<br>この戦いに勝たなくてはならない。"""
msc_020020_0270#0,"""みんなの力を、僕に貸してほしい。"""
msc_020020_0280#0,"""次の指示があるまで、<br>すぐに戦える態勢のまま待機を頼む。"""
msc_020020_0290#0,"""勝利を……この手につかもう！"""
