skit_01_01#0,"""あ、どうも。<br>こんな格好ですけど、ティアです……<br>たぶん。"""
11_voice_NPC_5463_104#0,"""私もパティちゃんも<br>ふと気づいたら、なぜか可愛い服を着て<br>ここに立っていて……"""
skit_01_03#0,"""詳しくは、パティちゃんに<br>聞いてみて頂けますか？<br>すみませんが、お願いします。"""
skit_02_01#0,"""パティちゃんの頼み事に<br>つきあわせてしまって、すみません。<br>でも、手伝ってもらえて助かります。"""
skit_02_02#0,"""それにしても、サンタクロースって<br>どんな人なんだろう？<br>ちょっと気になりますよね。"""
skit_03_01#0,"""クリスマスの時期だけ現われて<br>慈善活動を行うサンタクロースって<br>何者なんでしょう？"""
skit_03_02#0,"""ウワサでは、侵入経路は煙突で<br>活動時間はおもに夜から明け方。<br>赤い服を着用している、とか。"""
skit_03_03#0,"""プレゼントを配り歩く性質を持ち<br>その対象は子供に限定される……<br>んー、考えるほど不思議。"""
skit_04_01#0,"""パティちゃんの思いつきって<br>まとはずれなように見えて<br>当たってたりするからなあ……"""
11_voice_NPC_5463_100#0,"""でも、そのせいで<br>あまり深く物事を考えないんですよね。<br>勢いだけで生きてるっていうか……"""
skit_04_03#0,"""もうちょっと情報屋らしく慎重に<br>……と思うけど、パティちゃんだし<br>これでいいのかも？"""
skit_05_01#0,"""<%me>さん。<br>私たちの調査につきあってもらって<br>本当にありがとうございました。"""
11_voice_NPC_5463_100#1,"""パティエンティア本人たちとも話が弾み<br>なぜか今度四人で遊びに行くことに……<br>パティちゃん二人って収拾つかなさそう。"""
skit_05_03#0,"""そういえばこの服、本人たちからも<br>「可愛い」ってほめられたんですけど<br>彼女たちの想像じゃないらしいんです。"""
11_voice_NPC_5463_104#1,"""じゃあ、この可愛い服を想像したのって<br>いったい誰なんでしょう？<br>もしかして、本物のサンタだったり……"""
skit_05_05#0,"""ともかく、クリスマスを<br>あなたと過ごせて、楽しかったです。<br>最後まで、よろしくお願いします。"""
