name01#0,"""Cabracan"""
name02#0,"""Echo"""
name01#1,"""カブラカン"""
name02#1,"""エコー"""
skit01#0,"""/ci2 2 อ๊ะ เจอแล้ว !<br>นั่นสวิทช์ที่ใช้เปิดรั๊วสีเขียวนั่นใช่ปะ !"""
skit02#0,"""/toge เออ แต่ช่วยดูรอบๆตัวเองก่อนได้มั้ย !<br>พวกเราถูกขังอยู่ไม่เห็นรึไงเฮ้ย !"""
skit01#1,"""/ci2 2 あっ、あった！<br>あれが緑のフェンスを<br>開けるスイッチね！"""
skit02#1,"""/toge って、ねーちゃん周り見ろ！<br>オレらが思いっきり<br>閉じ込められとるやん！"""
skit01#2,"""อ๊ะ เจอแล้ว !<br>นั่นสวิทช์ที่ใช้เปิดรั๊วสีเขียวนั่นใช่ปะ !"""
skit02#2,"""/toge เออ แต่ช่วยดูรอบๆตัวเองก่อนได้มั้ย !<br>พวกเราถูกขังอยู่ไม่เห็นรึไงเฮ้ย !"""
skit01#3,"""あっ、あった！<br>あれが緑のフェンスを<br>開けるスイッチね！"""
skit02#3,"""/toge って、ねーちゃん周り見ろ！<br>オレらが思いっきり<br>閉じ込められとるやん！"""
