name01#0,"""勇敢な男性"""
name02#0,"""怯えている男性"""
name03#0,"""逃げ腰の男性"""
st_054040_0010#0,"""ハアッ、ハアッ！<br>沸き出てきやがった雑魚共は<br>これで全部か！"""
st_054040_0020#0,"""……ま、まだ来るぞ！<br>これ以上先には……子供には……！<br>う、わあああっ！"""
st_054040_0030#0,"""駄目だ……止まる気配がない！<br>退かないと飲み込まれるぞ！"""
st_054040_0040#0,"""……退けるわけねェだろうが！<br>ここの後ろに何があるか<br>忘れてんじゃねえぞ、腑抜けども！"""
st_054040_0050#0,"""……ッ！<br>そう、だった。"""
st_054040_0060#0,"""元々なくすつもりの命だろうが！<br>今更惜しんでんじゃねえぞ！<br>少しでも、道連れにしてやらァ！"""
st_054040_0070#0,"""これまたギリギリですよ！<br>大急ぎで来てみて正解でしたね！"""
st_054040_0080#0,"""シーナ！？<br>そいつらは……！"""
st_054040_0090#0,"""安心して、ゲッテムハルト。<br>この人達は、味方よ！"""
st_054040_0100#0,"""ゲッテムハルトぉ！？"""
st_054040_0110#0,"""ど、どうしました？<br>彼の名前が何か？"""
st_054040_0120#0,"""ああいえいえ、何でもないです！"""
st_054040_0130#0,"""いろいろ考えるのは後回しです！<br>まずはこの場をなんとかしましょう！"""
