NpcComMsg1#0,"""まもなく、再び復活した邪竜のもとへ<br>転送します。"""
NpcComMsg2#0,"""前回とはけた違いのエネルギーが<br>観測されており、厳しい戦いと<br>なる事が予想されます。<br>十分に注意して臨んでください。"""
NpcComMsg3#0,"""私たちにはアリサさんの援護がついて<br>います！\u3000そして皆さんの力があれば<br>きっと勝てるはず！"""
Title#0,"""T:崩城に甦る黒衣の邪竜"""
Explanation#0,"""異世界オメガ、クエント城跡に<br>極めて強い反応と、真っ黒な邪竜を確認！<br>アリサさんと協力して、撃退して下さい！<br>大変危険な戦いとなるため、この任務は<br>実績のあるアークスに限定されます！<br>――――――――――――――――――――<br>最大与ダメージ制限/999999<br>失敗条件/任務の失敗、制限時間の経過"""
SimpleExplanation#0,"""ドラゴンを撃退せよ！"""
Area0S#0,"""異世界オメガ\u3000クエント城跡"""
Area0L#0,"""異世界オメガ\u3000クエント城跡"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
a5#0,"""スーパーハード受注許可証の所持"""
TargetExplanation#0,"""クエスト目標「ドラゴンを撃退せよ！」<br><br><c f0df60>制限時間の経過でクエスト失敗<c>"""
