un_020380_0010#0,"""......สวัสดี<br>คุณได้ยินเรื่องที่ Class ใหม่ที่ได้รับการ<br>ยกเลิกการห้ามแล้วใช่มั้ย?"""
un_020380_0020#0,"""...... ร็สึกจะเรียกว่า Samurai ล่ะมั้ง<br>ได้ยินว่าผู้ที่เสนอคือ ARKS แค่คนๆ เดียว <br>......พยายามมากเลยเนอะ เค้าน่ะ"""
un_020380_0030#0,"""......แต่ว่า ชั้นคิดว่ามันยังเป็น Class ที่<br>ยังมีผลงานไม่เพียงพอ เพราะฉะนั้นถ้า<br>พวกเราไม่คอยสนับสนุนให้ดีๆ ล่ะก็"""
un_020380_0040#0,"""......เพราะฉะนั้น ถ้าคุณจะเป็น <br>Samurai ชั้นก็แนะนำให้จับคู่ปาร์ตี้<br>กับ Wizard นะ"""
un_020380_0050#0,"""แม้จะได้รับบาดเจ็บแต่ก็รักษาได้เดี๋ยวนั้นเลย<br>อีกทั้งยังสามารถสนับสนุนได้ในทันทีอีกด้วย"""
un_020380_0060#0,"""......กลับกันชั้นคิดว่าควรจะหลีกเลี่ยง<br>การจับคู่กับ Hunter จะดีกว่า"""
un_020380_0070#0,"""......มันขึ้นอยู่กับคนที่จับคู่ด้วยก็จริง<br>แต่ปกติพวกนั้นจะไม่รู้จักยืดหยุ่นและ<br>อาจจะนำอันตรายมาสู่ทั้งสองฝ่านก็ได้"""
un_020380_0075#0,"""......งานประลองฝีมือก่อนหน้านี้เอง<br>ก็วุ่นวายแบบนี้หลายๆ เรื่องเหมือนกัน"""
un_020380_0080#0,"""......ยังไงก็ตาม ก่อนอื่นก็ให้<br>ปาร์ตี้กับ Wizard <br>นั่นคือตัวเลือกที่ปลอดภัยที่สุด"""
un_020380_0010#1,"""……こんにちは。<br>貴方、新しいクラスの解禁情報<br>もう聞いてる？"""
un_020380_0020#1,"""……ブレイバー、だっけ。<br>アークスの一人が提唱したって話。<br>……すごく、頑張ったのね。"""
un_020380_0030#1,"""……でも、まだまだ実績の足りない<br>クラスだと思うし、私たちが<br>きちんとフォローしてあげないと。"""
un_020380_0040#1,"""……だから、ブレイバーに<br>なるのなら、パーティーを組むのは<br>フォースがおすすめ、かも。"""
un_020380_0050#1,"""……傷ついてもすぐに治せるし<br>とっさのフォローもできるから。"""
un_020380_0060#1,"""……逆に、ハンターと組むのは<br>避けた方がいいと思うわ。"""
un_020380_0070#1,"""……組む相手にもよるけど<br>融通がきかないし、お互いに<br>危険が及んじゃう、かも。"""
un_020380_0075#1,"""……この前の戦技大会でも<br>いろいろ大変だったし。"""
un_020380_0080#1,"""……とにかく、最初は<br>フォースとパーティーを組む。<br>それが、一番安全よ。"""
