name_7695#0,"""茨卡諾|ツカーノ"""
ssn_014540_0001#0,"""不愧是被娜德蕾芙大人所看中之人。"""
ssn_014540_0002#0,"""有你這樣身強力壯的ARKS加持作戰，我真的感到很可靠。<br>今後也請與我們一同對抗DOLLS吧。"""
ssn_014540_0101#0,"""你來得正好。"""
ssn_014540_0102#0,"""我實在是放心不下，殘留在穹頂裡的DOLLS的殘黨餘孽。<br>所以一直在推進調查……"""
ssn_014540_0103#0,"""可最近有報告說，<br>靈座頂內部的DOLLS又蠢蠢欲動起來了。"""
ssn_014540_0104#0,"""雖說我們確實打倒了黎泰姆游沙蟒，<br>可DOLLS仍是ARKS們的威脅這一點，依舊沒有改變。"""
ssn_014540_0105#0,"""我想把災厄的萌芽，盡可能早一點扼殺在繈褓之中。"""
ssn_014540_0106#0,"""能不能想你當初與黎泰姆游沙蟒作戰時一樣，再借我一臂之力呢？"""
ssn_014540_0201#0,"""那麼就請前去靈座頂的內部，討伐殘存的DOLLS吧。"""
ssn_014540_0202#0,"""當然了，我們也會讓黎泰姆的其他ARKS們加入進來的。<br>不過，也沒有什麼能比得到你的協助，更令人感到可靠了。"""
ssn_014540_0203#0,"""那就拜託了。"""
ssn_014540_0301#0,"""好吧，光是在拜託你一個人，好像確實也不太合適。"""
ssn_014540_0302#0,"""雖說只會有黎泰姆的ARKS參加討伐，<br>不過若是可以的話，你也去幫幫他們吧。"""
ssn_014540_0401#0,"""可能對你也是稀鬆平常的事情吧，但你確實擁有著令人瞠目結舌的本領。"""
ssn_014540_0402#0,"""我和黎泰姆的ARKS們可都是不會輸的！<br>今後我們也常互相切磋一下，一起去打倒DOLLS吧！"""
