Title#0,"""Distress Signal"""
Explanation#0,"""เราได้พบสัญญาณที่น่ากังวลใจและไม่รู้ที่มาจาก Underworks<br>ที่ Lilipa มันอาจจะเป็นเครื่องกลเก่าที่ทำงานผิดพลาดก็ได้<br>แต่เราต้องตรวจสอบเพื่อความแน่นอน<br>ขอให้ ARKS มุ่งหน้าไปยัง Underworks<br>และหาที่มาของสัญญาณนั้นซึ่งอาจมาจาก Lagomite<br>โปรดระวัง เราพบสิ่งมีชีวิตขนาดใหญ่อยู่ที่นั่นด้วย<br>----------------------------------------<br>ท่านจะล้มเหลวถ้าภารกิจช่วยเหลือไม่สำเร็จ"""
Title#1,"""救難信号調査"""
Explanation#1,"""惑星リリーパの地下坑道より、詳細不明の<br>救難信号が発せられていることがわかった。<br>遺留品の誤作動だと思われるが<br>放置しておくわけにもいかない。<br>アークス各員は、地下坑道へと赴き<br>救難信号の発信源付近を探れ。<br>近隣ではリリーパ族が多数目撃されている。<br>そちらも留意するように。<br>――――――――――――――――――――<br>失敗条件/救助の失敗"""
SimpleExplanation#0,"""ช่วยทุกคนที่ต้องการความช่วยเหลือ!"""
SimpleExplanation#1,"""要救助者を救助せよ！"""
a1#0,"""ผ่าน Client Order"""
a2#0,"""ผ่าน Client Order"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
