11_voice_NPC_5091_100#0,"""啊啊，是前輩啊。<br>你來得正好。"""
Io_favs_before_020#0,"""呃......這個<br>就送給你吧。"""
Io_favs_after_010#0,"""......因為你平時幫我很多忙，<br>這算是謝禮啦。"""
Io_favs_after_020#0,"""啊啊，啊啊，別露出那種表情啦。<br>我也知道我不適合這種表情。<br>但我一定要表達感謝啊。"""
Io_favs_after_030#0,"""好啦，交給你囉。<br>沒關係啦，你儘管去忙吧。<br>......再見囉，前輩。"""
11_voice_NPC_5091_100#1,"""ああ、センパイか。<br>ちょうどいいところに来てくれた。"""
Io_favs_before_020#1,"""えっと……ほら、これ。<br>受け取ってくれよ。"""
Io_favs_after_010#1,"""……いつも世話になってるからな。<br>その、お礼だよ。"""
Io_favs_after_020#1,"""ああ、ああ、そんな顔するなって。<br>おれも似合わないってわかってるよ。<br>でも感謝は示さないとダメだろ。"""
Io_favs_after_030#1,"""ほらほら、渡したぞ。<br>いいからもう行ってくれ。<br>……またな、センパイ。"""
Io_favs_present_010#0,"""得到伊歐給予的『爆箭巧翻雲』。"""
Io_favs_present_020#0,"""得到伊歐給予的『貫穿箭』。"""
Io_favs_present_030#0,"""得到伊歐給予的『合成器』。"""
Io_favs_present_040#0,"""得到伊歐給予的『滂沱箭』。"""
Io_favs_present_050#0,"""得到伊歐給予的『合成器』。"""
Io_favs_present_060#0,"""得到伊歐給予的『重力爆點』。"""
Io_favs_present_070#0,"""得到伊歐給予的『合成器』。"""
Io_favs_present_080#0,"""得到伊歐給予的『神風箭』。"""
Io_favs_present_090#0,"""得到伊歐給予的『合成器』。"""
Io_favs_present_100#0,"""得到伊歐給予的『精英射擊』。"""
Io_favs_present_011#0,"""得到伊歐給予的『爆箭巧翻雲』。"""
Io_favs_present_021#0,"""得到伊歐給予的『滂沱箭』。"""
Io_favs_present_031#0,"""得到伊歐給予的『合成器』。"""
Io_favs_present_041#0,"""得到伊歐給予的『滂沱箭』。"""
Io_favs_present_051#0,"""得到伊歐給予的『合成器』。"""
Io_favs_present_061#0,"""得到伊歐給予的『重力爆點』。"""
Io_favs_present_071#0,"""得到伊歐給予的『合成器』。"""
Io_favs_present_081#0,"""得到伊歐給予的『神風箭』。"""
Io_favs_present_091#0,"""得到伊歐給予的『合成器』。"""
Io_favs_present_101#0,"""得到伊歐給予的『精英射擊』。"""
Io_favs_present_010#1,"""イオから『シャープボマー』を受け取りました。"""
Io_favs_present_020#1,"""イオから『ペネトレイトアロウ』を受け取りました。"""
Io_favs_present_030#1,"""イオから『シンセサイザー』を受け取りました。"""
Io_favs_present_040#1,"""イオから『トレンシャルアロウ』を受け取りました。"""
Io_favs_present_050#1,"""イオから『シンセサイザー』を受け取りました。"""
Io_favs_present_060#1,"""イオから『グラヴィティポイント』を受け取りました。"""
Io_favs_present_070#1,"""イオから『シンセサイザー』を受け取りました。"""
Io_favs_present_080#1,"""イオから『カミカゼアロウ』を受け取りました。"""
Io_favs_present_090#1,"""イオから『シンセサイザー』を受け取りました。"""
Io_favs_present_100#1,"""イオから『マスターシュート』を受け取りました。"""
Io_favs_present_011#1,"""イオから『フォトンスフィア』を受け取りました。"""
Io_favs_present_021#1,"""イオから『トレンシャルアロウ』を受け取りました。"""
Io_favs_present_031#1,"""イオから『エクスキューブ』を受け取りました。"""
Io_favs_present_041#1,"""イオから『エクストリームパス』を受け取りました。"""
Io_favs_present_051#1,"""イオから『トリットシューター』を受け取りました。"""
Io_favs_present_061#1,"""イオから『トライブースト＋５０％』を受け取りました。"""
Io_favs_present_071#1,"""イオから『能力追加成功率＋１０％』を受け取りました。"""
Io_favs_present_081#1,"""イオから『強化リスク軽減（＋２）』を受け取りました。"""
Io_favs_present_091#1,"""イオから『ラストネメシス』を受け取りました。"""
Io_favs_present_101#1,"""イオから『ミリオンストーム』を受け取りました。"""
Alice_01_10#0,"""最近很少看到<br>鬥人族耶。<br>......大家都出擊了嗎？"""
Alice_01_20#0,"""最近很少看到<br>鬥人族耶。<br>......大家都出擊了嗎？"""
Alice_01_30#0,"""最近很少看到<br>鬥人族耶。<br>......大家都出擊了嗎？"""
Alice_01_40#0,"""最近很少看到<br>鬥人族耶。<br>......大家都出擊了嗎？"""
Alice_01_50#0,"""最近很少看到<br>鬥人族耶。<br>......大家都出擊了嗎？"""
Alice_01_60#0,"""最近很少看到<br>鬥人族耶。<br>......大家都出擊了嗎？"""
Alice_01_70#0,"""最近很少看到<br>鬥人族耶。<br>......大家都出擊了嗎？"""
Alice_01_80#0,"""最近很少看到<br>鬥人族耶。<br>......大家都出擊了嗎？"""
Alice_01_10#1,"""ん、どうしたセンパイ？<br>何か聞きたそうな顔してるな。"""
Alice_01_20#1,"""おれに答えられることなら<br>何でも聞いてくれよ。"""
Alice_01_30#1,"""なんだって？<br>他種族は恋愛対象になるか？<br>……センパイ、何言ってんだ？"""
Alice_01_40#1,"""ああ、いや、悪いセンパイ。<br>何か深い意図があるんだよな、うん。<br>わかった、ちゃんと答えるよ。"""
Alice_01_50#1,"""そうだな……他種族でも<br>おれは特に気にしない、かな。"""
