ShopMenuHeader1#0,"""Buff Name"""
ShopMenuHeader2#0,"""Effect Duration"""
ShopMenuHeader3#0,"""Required Points"""
ShopMenu1#0,"""Movement Speed Boost"""
ShopMenu2#0,"""PP Recovery Boost"""
ShopMenu3#0,"""PB Gauge Fill Rate Boost"""
ShopMenu4#0,"""M.A.R.S. Charge Rate Boost"""
ShopMenu5#0,"""Rare Drop Rate +25%"""
ShopMenu6#0,"""Damage Boost Against Ruino"""
ShopMenu7#0,"""Damage Boost Against Alters"""
ShopMenu8#0,"""Damage Boost Against DOLLS"""
ShopMenu9#0,"""Damage Boost Against Starless"""
ShopMenu10#0,"""Activate Mobile Cannon ALR"""
PointRepayment#0,"""Some Exploration Points have been refunded."""
NpcComOnPointLuckedUp#0,"""/voice11_voice_navi004_trial_0001_038 探索ポイントが貯まっているようです。<br>フィールド上にあるブーストデバイスから、能力の強化を行えますよ。"""
