name_7008#0,"""羅莎|ロッサ"""
msn_011065_002_0010#0,"""好，不錯。<br>看來你已經學會武器強化了啊。"""
msn_011065_002_0020#0,"""總之，這把武器就是你的了。<br>要好好珍惜啊。"""
msn_011065_002_0025#0,"""強化素材沒準還挺難獲得的，<br>所以發現的話一定要好好收起來。"""
msn_011065_002_0030#0,"""還有就是，防具也可以用相同的辦法強化，<br>你也試試看吧。"""
msn_011065_002_0040#0,"""總之，這把武器就是你的了。<br>要好好使用啊。"""
msn_011065_002_0050#0,"""啊，還有，剛剛鑑定的特殊武器。<br>把它用起來吧。我覺得應該會派上用場。"""
msn_011065_002_0060#0,"""然後……至於N-研磨石|N-グラインダー，<br>在各地的道具箱裡都能發現。"""
msn_011065_002_0070#0,"""雖然現在說起來，還真知道都是誰放在那裡的，<br>但總之你就好好使用吧。"""
msn_011065_002_0080#0,"""畢竟……突然跟你講這麽多，<br>估計你也記不全嘛！"""
msn_011065_002_0090#0,"""反正，我想你打著打著<br>就會慢慢地適應了。"""
msn_011065_002_0100#0,"""有什麽不懂的東西的話，<br>想想我們的講過的內容就好了。"""
msn_011065_002_0110#0,"""就是這樣，我的說明也就到這兒！<br>今後也請多指教啊！"""
msn_011065_002_0120#0,"""……恩？"""
msn_011065_002_0130#0,"""……噢，克羅福德在喊你們。<br>能來下指令室嗎？等你們哦。"""
