st_056220_0010#0,"""啊……啊啊啊啊！<br>該死的該死的，竟然敢<br>傷害……美麗的我！"""
st_056220_0020#0,"""<%me>桑！<br>這樣下去的話，能贏！"""
st_056220_0030#0,"""可以分離黑暗法爾斯<br>就能救出瑪露桑……！"""
st_056220_0040#0,"""……！<br>守護輝士，請退一下！"""
st_056220_0050#0,"""什！？<br>從大地開始滲出的……黑暗！？<br>又是這種力量……！"""
st_056220_0060#0,"""不對，樣子有點兒奇怪……"""
st_056220_0070#0,"""什……這是，什麼！？<br>想要侵佔我！？"""
st_056220_0080#0,"""【若人】被襲擊了？"""
st_056220_0090#0,"""控制不了了麼？"""
st_056220_0100#0,"""反應上看是徒花……<br>和黑暗種因子融合在一起的東西！"""
st_056220_0110#0,"""這下別說是救出瑪露桑了<br>連近身都做不到了……！"""
st_056220_0120#0,"""有路的話，就能行吧。"""
st_056220_0130#0,"""……哈莉艾特？"""
st_056220_0140#0,"""守護輝士，我來開闢一條路。<br>……後面就拜託你了。"""
st_056220_0150#0,"""這是以徒花爲起源的東西的話<br>……那和我的身體，應該就正好相符合！"""
st_056220_0160#0,"""唔哇ー，唔ー哇ー……沒了ー……<br>真的……沒了ー……<br>我真的會變成這樣麼……"""
st_056220_0170#0,"""別失望了！<br>你成長後的樣子可是我哦！<br>用你的眼睛仔細看清楚了！"""
st_056220_0180#0,"""等、幹嘛啊！ 不敬啊不敬！<br>又瞎眼又裝還不敬<br>一點點兒沒救！"""
st_056220_0190#0,"""嘛嘛，別吵了"""
st_056220_0200#0,"""別吵了，現在什麼情況？"""
st_056220_0210#0,""" ……確實<br>不是吵架的時候。"""
st_056220_0220#0,"""我……如你所知<br>就是黑暗法爾斯【若人】。<br>這孩子最後的樣子。"""
st_056220_0230#0,"""被期待成爲【若人】的憑依<br>的這個孩子的未來的姿態。"""
st_056220_0240#0,"""失去憑依<br>被你斬斷了的我應該就這樣消失了才對。<br>但是……"""
st_056220_0250#0,"""……因爲。<br>雖然說了你是瞎眼王<br>你就是我啊。"""
