name01#0,"""幻創造神"""
name02#0,"""？？？"""
st_048130_0840#0,"""……終わりだ。"""
st_048130_0850#0,"""っ！"""
st_048130_0860#0,"""ヒツギちゃんっ！"""
st_048130_0870#0,"""バカな……！<br>貴殿は、<%me>！<br>どうやって、こちらの世界に……！"""
st_048130_0880#0,"""<%me>さん！"""
st_048130_0890#0,"""<%me>！"""
st_048130_0900#0,"""<%me>……！"""
st_048130_0910#0,"""これ……天叢雲……？<br>霧散したはずなのに、どうやって？"""
st_048130_0920#0,"""エーテルの扱いならば<br>幻創造神よりも、私に長がある。<br>それだけの話だ。"""
st_048130_0930#0,"""あ、アルまで！？<br>でも、その喋りは……マザー？"""
st_048130_0940#0,"""アルの承諾を得て、一時的に身体を借りた。<br>それよりも八坂炎雅、鷲宮氷莉……<br>二人とも、私の手を取れ。"""
st_048130_0950#0,"""グラム！"""
st_048130_0960#0,"""オレの具現武装まで……！"""
st_048130_0970#0,"""……彼の者は神といえど、下地にあるのは<br>アーデムの成した、エーテルによる具現化現象。<br>而してあれは、本物の神にあらず。"""
st_048130_0980#0,"""なればこそ、人類の力で打ち倒してみせよ。<br>その力で、その想いの全てを込めて。<br>そのための場は、私とアルが保とう。"""
st_048130_0990#0,"""うん、わかってる。<br>……だからお姉ちゃん、頑張って！"""
st_048130_1000#0,"""地球の……宇宙の具現である<br>我に刃向かうというのか、人類。"""
st_048130_1010#0,"""新たなる創造を、次なる進化を求めずに<br>貴様達は、ただ退廃していくだけを望むと……<br>そのような愚かしい結論を、出すというのか。"""
st_048130_1020#0,"""……それは、違うよ。<br>わたしたちは、わたしたちの足で歩いてる。<br>未来へ向かって、はっきりと！"""
st_048130_1030#0,"""躓いたり、後ずさりしたり<br>間違った方向に進んだりすることもあるが<br>人類は立って、歩いてってるんだよ！"""
st_048130_1040#0,"""立ち止まることもある、振り返ることもある<br>間違えたって後悔することもあるし……<br>取り返しのつかないことも、いっぱいする。"""
st_048130_1050#0,"""それでも、あたしたちが歩いてきたこの道が<br>あたしたちの進化の道で、未来への道なんだ。"""
st_048130_1060#0,"""そしてまだこの道は、先に続いてる……<br>それを、誰にも邪魔なんてさせるもんか。"""
st_048130_1070#0,"""たとえ、神様にだって！"""
st_048130_1080#0,"""神の定めた未来を拒む……<br>愚か、愚か愚か、まこと愚かなり。"""
st_048130_1090#0,"""滅びよ、人類。<br>滅びよ、地球。"""
st_048130_1100#0,"""我が創造の失敗は、新たなる創造で取り戻す。<br>貴様達を抹消し、そして再び創り直す。<br>この星を……この宇宙を。"""
st_048130_1110#0,"""１．地球はお前の玩具ではない"""
st_048130_1120#0,"""２．地球を創り直す必要なんてない"""
st_048130_1130#0,"""<%me>……行こう！"""
st_048130_1140#0,"""ありがとう……<%me>！"""
