name01#0,"""Pati"""
name02#0,"""Tia"""
name01#1,"""パティ"""
name02#1,"""ティア"""
text01#0,"""เอาล่ะ ไปกันได้แล้ว Pati<br>แล้วอย่าลืมระวังศัตรูที่ซ่อนตัวดักโจมตีท่านอยู่ด้วยนะ"""
11_voice_NPC_5014_104#0,"""...อ๊ะ<br>จิ..จริงด้วยสิ ไม่ใช่ Pati นี่นา<br>ขอโทษ ลืมตัวไป"""
text03#0,"""ปกติไปไหนมาไหนกับ Pati คนเดียวตลอด<br>...มันก็เลย...ติด..."""
text04#0,"""อะ เอาเป็นว่าไปกันดีกว่านะ<br>ก็พวกเรามาหาข้อมูลกันนี่นาเนอะ !"""
text01#1,"""さあ、さくさく行くよパティちゃん。<br>隠れてる敵の気配なんかには<br>ちゃんと注意して進んでね。"""
11_voice_NPC_5014_104#1,"""……あ。<br>そ、そうだ、パティちゃんじゃない。<br>すみません、ごめんなさい！"""
text03#1,"""いつもパティちゃんと一緒に<br>動いてたから……つい、クセで……"""
text04#1,"""そ、それじゃ進みましょう。<br>ほら、私たちは情報収集に<br>来たんだから！"""
