text01#0,"""การใช้อาวุธให้มีประสิทธิภาพนั้น<br>ท่านต้องฝึกฝนทุกวัน ยิ่งท่านฝึกมากเท่าไหร่<br>ท่านยิ่งพัฒนามากขึ้นเท่านั้น"""
text02#0,"""ท่านอาจจะเหนื่อยในตอนแรก<br>แต่ยิ่งท่านผ่าน Boot Camp มากเท่าไหร่<br>ท่านจะยิ่งสนุกสนานไปกับการฝึกมากเท่านั้น"""
11_voice_NPC_5057_100#0,"""มือใหม่แบบท่าน ข้าเคยสอนมานักต่อนักแล้ว<br>เพราะฉะนั้นวางใจได้เลย"""
text100#0,"""Wand Gear"""
text101#0,"""Wand Gear จะมี Gear Gauge แสดงเหนือ Palette หลัก<br>โดยค่า Gauge จะเพิ่มขึ้นเมื่อท่านโจมตีด้วยการชาร์จ Photon Magic<br>กดปุ่ม <%WeaponAction> ค้างไว้ก่อนปล่อย<br>Photon Magic"""
text102#0,"""เมื่อ Gear Gauge เพิ่มขึ้น Elemental Damage จะเพิ่มเข้าไปยังการโจมตีปกติของท่าน<br><br>โดย Gauge จะลดลงตลอดเวลา ขอแนะนำให้ท่านต่อสู้โดยการยิงด้วยการชาร์จ<br>Photon Magic"""
text01#1,"""武器の扱いとは一日にしてならず。<br>特訓すればするほど、その扱いは<br>上達していくものよ。"""
text02#1,"""最初は辛く、苦しいと思う特訓も<br>一つ一つ出来ることが増えるたびに<br>どんどん気持ちよくなっていく。"""
11_voice_NPC_5057_100#1,"""そういう教え子を<br>私は何人も送り出してきた。<br>だから、貴方も安心して従いなさい。"""
text100#1,"""『ウォンドギア』について"""
text101#1,"""ウォンドのギアシステムについて、説明します。<br><br>スキル「ウォンドギア」を習得している場合には<br>武器パレットの上部にギアゲージが追加されます。<br><br>ウォンドのギアゲージは、チャージテクニックを<br>ヒットさせることにより蓄積されます。<br><br>テクニックがセットされたパレットを長押しすることで<br>チャージテクニックを放つことができます。"""
text102#1,"""ギアゲージが高まると通常攻撃に属性ダメージが追加され<br>戦闘を有利に進めることができます。<br><br>ウォンドギアのゲージは時間経過で減少するため<br>適度にチャージテクニックを発動しながら戦うとよいでしょう。"""
