Title#0,"""Running maneuvers: Naberius"""
Explanation#0,"""ภารกิจครั้งนี้เป็นส่วนหนึ่งของการ<br>ซ้อมรบจริง ใช้ทักษะที่มีทั้งหมดในการทำภารกิจ<br>ให้บรรลุให้เร็วที่สุด หน้าที่ของท่านคือเดินทางผ่าน <br>Greenscape และ White Summit<br>บน Naberius และกำจัดเป้าหมายให้เร็วที่สุด<br>ท่านต้องรวมปาร์ตี้สำหรับภารกิจนี้เพื่อ<br>เพิ่มความสามารถในการสู้รบ<br>------------------------------------<br>เงื่อนไขความล้มเหลว / หมดสภาพในการต่อสู้ <br>หรือ เลือกรีไทร์"""
Title#1,"""走破演習：ナベリウス"""
Explanation#1,"""本任務は、実戦演習の一環である。<br>目標到達までの任務時間を競い合うことで<br>より一層の精進を期待する。<br>惑星ナベリウスの森林から凍土を抜け<br>目標対象の討伐時間を競う。<br>同時に、各員の共闘能力も測るため<br>本任務はパーティーを組んでの受注を<br>推奨とする。<br>――――――――――――――――――――<br>失敗条件/戦闘不能後、リタイアを選択"""
SimpleExplanation#0,"""เข้าไปให้ถึงส่วนที่ลึกที่สุด!"""
SimpleExplanation#1,"""最深部を目指せ！"""
a1#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a2#0,"""ผ่าน Client Order ที่กำหนดไว้"""
a3#0,"""ต้องมีใบอนุญาตรับภารกิจระดับ Super Hard"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
