EnemyWeak#0,"""こ、このぐらいの敵なら<br>わたしでもなんとか……"""
EnemyLarge#0,"""お、大きい……<br>これが本物の迫力"""
EnemyBoss#0,"""わ、わわっ、すごいのが<br>出てきましたよ！"""
EnemyRare#0,"""あれ、珍しい種類のやつです<br>資料で見たことあります"""
EnemyBoost#0,"""……なんだか、怖い感じです"""
DestroyEnemy1#0,"""やりました！"""
DestroyEnemy2#0,"""わたしにもできました！"""
DestroyEnemy3#0,"""先輩のおかげです！"""
CondFreeze#0,"""うう……さむいです……"""
CondBurn#0,"""うう……熱いです……"""
CondShock#0,"""うう……痺れが……"""
CondPoison#0,"""うう……毒が……"""
CondPanic#0,"""うう……世界がぐらぐらです"""
CondStan#0,"""うう……身体が動かない……"""
CondMirage#0,"""うう……目がちかちかして……"""
Die#0,"""やだ……こんなの……"""
ThankHeal#0,"""ありがとうございます！"""
ThankBuff#0,"""助かりました！"""
ThankCure#0,"""お手数をおかけします！"""
DefeatEnemy#0,"""な、なんとかなりました……"""
LevelUp#0,"""先輩はすごいなぁ……"""
InvokeSkill1#0,"""これでっ！"""
InvokeSkill2#0,"""わたしにもできるはず！"""
InvokeSkill3#0,"""やっちゃいます！"""
TechFire#0,"""燃えてください！"""
TechIce#0,"""凍ってください！"""
TechThunder#0,"""痺れちゃってっ！"""
TechWind#0,"""吹き飛んじゃえーっ！"""
TechLight#0,"""お願いしますっ！"""
TechDark#0,"""これならどうですかっ！"""
PBFull#0,"""とっておきの出番ですっ！"""
PBRelease#0,"""がんばってねっ！"""
TacticsFree#0,"""自由って……え、ええと<br>わ、わかりました！"""
TacticsGuard#0,"""守勢って……あの、えっと<br>わ、わかりました！"""
TacticsMassedAttack#0,"""集中って……え、あの<br>わ、わかりました！"""
TacticsAttack#0,"""囮って……え、ええっ！<br>わたしが、ですか！？"""
Avoid#0,"""えいっ！"""
HealSelf#0,"""危なかった……"""
BuffSelf#0,"""ほ、補助しないと……"""
HealOther#0,"""だ、だだっ、大丈夫ですか！"""
BuffOther#0,"""補助、いきますね！"""
QuestStart1#0,"""せ、先輩！<br>わたし、がんばります！"""
QuestStart2#0,"""先輩がいっしょなら<br>わたし、大丈夫です！"""
QuestEnd1#0,"""やった、やりました！"""
