st_057110_0010#0,"""哈莉艾特率領的昆特軍<br>被逼近的無窮無盡的伊斯＝阿魯斯的怪物擋住了。"""
st_057110_0020#0,"""士兵士気軒昂。雖然反覆奮鬥<br>但是阻擋在那裏的是壓倒性數量的牆。"""
st_057110_0030#0,"""敗北已成定局。<br>繼續戰鬥的士兵們、<br>也焦急地等待着撤退的命令。"""
st_057110_0040#0,"""但即使在這過程中、哈莉艾特還是直直地看着前方。<br>將與守護輝士的約定牢記在心、<br>爲了不辜負這份期待。"""
st_057110_0050#0,"""哈莉艾特大人、我們已經頂不住了！<br>把防衛線撤回到<br>昆特國內吧！"""
st_057110_0060#0,"""……不行、在這裏撤退的話<br>會被一氣呵成的打敗！<br>預備戰力依次投入！"""
st_057110_0070#0,"""這樣的話國內的防衛就會受到影響……！"""
st_057110_0080#0,"""可以嗎、瓦爾納。<br>這裏是最前線、也是最終防衛線。"""
st_057110_0090#0,"""如果讓擁有增殖能力的敵人進入國內<br>那就會成為昆特王國的末日。<br>所以、必須死守。"""
st_057110_0100#0,"""啊、已經到這裡了！"""
st_057110_0110#0,"""……守護輝士。<br>拜託你了。"""
st_057110_0120#0,"""這裏是、伊斯＝阿魯斯的首都。<br>但至今爲止沒見過一個人。<br>那也就是說……"""
st_057110_0130#0,"""……首都的人已經全滅、對吧。<br>無論是掌管國事的人們<br>還是在這裏生活的人們、所有的一切。"""
st_057110_0140#0,"""……死於芙洛的遊戲。"""
st_057110_0150#0,"""国民的全滅<br>就是因為遊戲嗎……？"""
st_057110_0160#0,"""不、順序顛倒了。<br>遊戲玩着玩着、就滅亡了。"""
st_057110_0170#0,"""所以芙洛開始<br>尋找下一個對象。"""
st_057110_0180#0,"""下一個是昆特<br>是哈莉艾特<br>……守護輝士、就是你。"""
st_057110_0190#0,"""你很冷靜啊"""
st_057110_0200#0,"""你怎麼知道？"""
st_057110_0210#0,"""那是因爲……"""
st_057110_0220#0,"""你回來了、克拉麗莎。"""
st_057110_0230#0,"""你帶過來了啊。<br>我的玩伴。"""
st_057110_0240#0,"""帶來了……克拉麗莎桑！？<br>你是……！"""
st_057110_0250#0,"""……是的。<br>我也已經死了。"""
st_057110_0260#0,"""現在的我、是由芙洛創造出來的。<br>按照芙洛的意願行動的東西。"""
st_057110_0270#0,"""如果芙洛需要朋友的話<br>就會帶過來。這就是我的使命。"""
st_057110_0280#0,"""你騙了大家嗎？"""
st_057110_0290#0,"""想要拯救的話是騙人的？"""
st_057110_0300#0,"""…………那是。"""
st_057110_0310#0,"""喂、不要無視我啊！<br>夠礙事的了、克拉麗莎！"""
st_057110_0320#0,"""克拉麗莎桑！？<br>你把她弄到哪裏去了！"""
st_057110_0330#0,"""嗯？　你想見克拉麗莎嗎？<br>那種東西無論多少、都能做出來。<br>你看。"""
st_057110_0340#0,"""啊？"""
st_057110_0350#0,"""！？"""
st_057110_0360#0,"""不光是克拉麗莎。<br>我還有很多朋友！"""
st_057110_0370#0,"""你看、很厲害吧<br>遊戲的夥伴<br>能做出來很多呢！"""
st_057110_0380#0,"""増殖魔術……？　模倣体……？<br>不、不是那種程度的東西。"""
st_057110_0390#0,"""難道是、從阿卡西記錄中<br>創造出來的？！"""
st_057110_0400#0,"""……那就來玩吧！<br>大家很容易就壞了<br>很無聊啊！"""
st_057110_0410#0,"""所以、我要求克拉麗莎<br>去帶不會壞<br>的玩具來玩！"""
st_057110_0420#0,"""就是你們。<br>……所以、盡情地玩吧！"""
st_057110_0430#0,"""遊戲的夥伴、在這裏哦！<br>我和我、來玩吧！<br>一起玩一起玩、開心吧！"""
name01#0,"""？？？"""
name02#0,"""？？？"""
