name_7002#0,"""アイナ"""
name_7001#0,"""マノン"""
name_7016#0,"""グレン"""
name_7022#0,"""カヌイ"""
name_7034#0,"""ルーシア"""
msn_041170_0010#0,"""隊長。<%me>さんたちを<br>お連れしました。"""
msn_041170_0020#0,"""カヌイ、ご苦労だった。<br>久しぶりだな、お前たち。"""
msn_041170_0030#0,"""そして……クロフォードから話は聞いている。<br>お前が、ルーシアか。"""
msn_041170_0040#0,"""そうよ。あなたがグレン、ね。"""
msn_041170_0050#0,"""ああ。記憶を探して、各地を回っているそうだな。<br>成果はどうだ。"""
msn_041170_0060#0,"""……ううん。まだ、何も思い出せてないわ。"""
msn_041170_0070#0,"""そうか……。それは残念だったな。"""
msn_041170_0080#0,"""でも、いろんな人たちの話を聞いて、少しだけ気付いたこともあるの。"""
msn_041170_0090#0,"""どの場所でも、出会った人たちはみんな、<br>自分にとっての大切なものを守るために、今を生きてた。"""
msn_041170_0100#0,"""……守るために、か。そうだな。<br>俺も、大切なものを守るために、ここで必死に戦ってきた。"""
msn_041170_0110#0,"""痛みも、喪失も、嫌というほど味わってきたが、<br>それでもなお、守りたいと思った。"""
msn_041170_0120#0,"""その覚悟で立ち続けた時間が、今の俺を作りあげているのだろう。"""
msn_041170_0130#0,"""そうですね。私も、部下たちも……<br>いえ、ハルファに暮らす人々は、誰もがそうなのかもしれません。"""
msn_041170_0140#0,"""私はまだ、無くした記憶を探すのに精一杯で、<br>そんな大切なものが、これから本当にできるかどうかも、わからない。"""
msn_041170_0150#0,"""でも……もしも、何かを“守りたい”って思える時が来たら……<br>その時の私は、きっと今と違う私になれるんじゃないかって、思うの。"""
msn_041170_0160#0,"""ああ、そうだな。もっとも、クロフォードから聞いていた様子からすれば、<br>既にお前は変わり始めているように見えるがな。"""
msn_041170_0170#0,"""そうだよね！\u3000あたしも、そう思う！"""
msn_041170_0180#0,"""だって、ほら、ありがとうって素直に言えるようになったし、<br>それに……んー、他にもいろいろ！"""
msn_041170_0190#0,"""ちょ、ちょっと、やめてよアイナ！<br>そういうの、大声で言わないでったら！"""
msn_041170_0200#0,"""ふふっ。そうやって照れるのも、変化のひとつ、かしらね。"""
msn_041170_0210#0,"""もうっ、マノンまで……！"""
msn_041170_0220#0,"""ふふ……何だか、あなたたちを見ていると、<br>昔の隊長やクロフォード君たちのやり取りを思い出します。"""
msn_041170_0230#0,"""またいつでも、スティアに来てください。<br>歓迎しますよ。"""
