IncidentName#0,"""捕獲$(0)！"""
TrialBeginMsg#0,"""使用捕獲裝置捕獲$(0)！"""
TrialAbstract#0,"""使用捕獲裝置捕獲$(0)！"""
ToastOnRestTryCaptureNum#0,"""捕獲裝置可啓動次數還剩$(0)次。"""
ToastOnUselessAccess#0,"""目前捕獲裝置無法啓動。"""
NpcComOnBegin#0,"""指令變更。<br>請捕獲<br>$(0)。"""
NpcComOnAfterBegin#0,"""將捕獲裝置傳送到$(0)地點。<br>所有人員請誘導目標，加以捕獲。<br>重複一遍，請捕獲目標。"""
NpcComOnSuccess#0,"""/face2 確認捕獲對象傳送成功。<br>感謝您即使指令臨時變更<br>仍然能迅速對應。"""
NpcComOnFailure#0,"""/face4 捕獲任務無法繼續執行。<br>沒辦法了。<br>請回到平時任務。"""
NpcComOnEnableCapture#0,"""目標已進入捕獲有效範圍內！<br>趁現在，啓動捕獲裝置！"""
NpcComOnCaptureSwitch#0,"""時間抓得剛剛好。<br>接下來要盯緊目標，不讓牠逃出<br>有效範圍內。"""
NpcComOnDisableCapture#0,"""捕獲裝置現在無法使用。<br>請先將捕獲對象誘導至<br>範圍內。"""
NpcComOnSuccessCapture#0,"""目標捕獲成功。<br>確認傳送完畢。"""
NpcComOnFailedCapture#0,"""目標捕獲失敗。<br>有效範圍是有限的。<br>請不要讓目標逃跑了。"""
NpcComOnAttackTarget#0,"""您只要捕獲目標即可。<br>對捕獲目標的攻擊。<br>麻煩盡可能不要跟我說話。"""
NpcComOnDeadTarget#0,"""捕獲目標的生命反應，消失。<br>沒辦法了。<br>等待下次機會吧。"""
NpcComOnLastCapture#0,"""傳送裝置只能再承受1次<br>負荷了。<br>請慎重地執行捕獲任務。"""
NpcComOnBegin#1,"""指令變更。<br>請捕獲$(0)。不是討伐，而是捕獲。"""
NpcComOnAfterBegin#1,"""已將捕獲裝置傳送到$(0)。<br>請所有人員誘導目標，加以捕獲。<br>重複一遍，捕獲目標。"""
NpcComOnSuccess#1,"""確認捕獲對象傳送成功。<br>臨時變更指令給你添麻煩了。<br>你做得很好。"""
NpcComOnFailure#1,"""/face6 繼續嘗試捕獲或許有點勉強。<br>不得已，回去執行平時任務吧。"""
NpcComOnEnableCapture#1,"""已在捕獲有效範圍內偵測到目標。<br>啓動捕獲裝置吧。"""
NpcComOnCaptureSwitch#1,"""剛才的時間抓得很好。<br>接下來要盯緊目標，不讓牠逃出<br>不要讓目標跑了。"""
