name01#0,"""艾塔妮"""
11_voice_shop_410#0,"""你好。<br>我是擔任ARKS基礎教導的教官<br>艾塔妮。"""
text02#0,"""實踐型教導課程<br>「ARKS之路」的<br>負責人。"""
text03#0,"""提供作為ARKS的基礎知識，<br>實踐型教導課程......<br>正是「ARKS之路」。"""
text04#0,"""對於ARKS的行動<br>還沒有習慣的各位，<br>一定要參加的課程。"""
text05#0,"""關於配置，如果能看過說明<br>就能比較快理解<br>首先，請先收下這個。"""
text06#0,"""只要裝備這個印章卡<br>自然就能習得<br>如何做為ARKS的知識。"""
text07#0,"""您的狀況好像已經結束<br>有了好幾個目標。<br>讓我再次幫您蓋上印章。"""
text08#0,"""如果有還沒遇到過的目標<br>請一定要試試看。"""
text09#0,"""意外漏掉基礎知識<br>也是偶爾會發生的事呢。<br>再確認一次吧。"""
text10#0,"""如果目標內容有不了解的地方，<br>直接問我會很有幫助。"""
text00#0,"""關於『ARKS之路』"""
text01#0,"""ARKS之路是為了新人ARKS而作成的實踐型教育計畫。<br><br>一旦達成目標就會在卡片上蓋上印章，表示已達成目標<br>也了解遊戲內的基本操作和功能，<br>可以將身為ARKS的基礎知識實際運用。<br><br>※已達成的目標<br>會自動的蓋上印章。"""
text02#1,"""對於ARKS之路的目的地<br>會顯示導航地圖。<br>在下面寫的數字表示到目的地為止的距離。<br>如果不知道目的地<br>可以跟著游標圖示前進<br>就能到達目的地。<br><br>要消去顯示的話，<br>可以從設定調整成不顯示。"""
text03#1,"""請向艾塔妮詢問現在的目標。<br>如果不知道前進的方法就去尋找看看吧。<br><br>艾塔妮會在出發區中央大廳。"""
