name01#0,"""เกี่ยวกับ [ARKS Ship Competition]"""
name01#1,"""『アークスシップ対抗戦』について"""
text01#0,"""อธิบายเกี่ยวกับ [ARKS Ship Competition]<br><br>ARKS Ship Competition <yellow>เป็น Event พิเศษที่มีระยะเวลาจำกัด<c><br>โดยผู้เล่นบน Ship ทุกลำจะถูกแบ่งออกเป็นทีม [Red Rappy] หรือ [Blue Rappy] และสีอื่นๆ<br>เพื่อแข่งขันทำ <c ff007f>[แต้มชนะ]<c> กัน<br><br>ซึ่งในท้ายที่สุด <yellow>ทีม<c ff007f>ที่มี [แต้มชนะ] <yellow>สูงที่สุด<c>ก็จะเป็นผู้ชนะ<br><br>Event นี้จะมี <c ffa800>[Arkma]<c> คอยเป็นผู้ให้คำแนะนำ<br>ที่ Arkma นี้ผู้เล่นสามารถตรวจสอบเป้าหมายหรืออันดับของสีตัวเองได้<br><yellow>หรือนำ [Star<pict sb_star_icon><yellow>] ที่มีไปแลกเป็นของรางวัลได้<c>"""
text02#0,"""<yellow>เริ่มทำอะไรก่อนดี?<c><br>ใน Event นี้ ผู้ที่เข้าร่วมในแต่ละ [Round] และทำภารกิจสำเร็จจะได้รับ [Star<pict sb_star_icon><yellow>] <br>และ [Contribution Point]<c> เป็นรางวัล ซึ่งหลังจบ [Round] สีที่ทำ <br>[Contribution Point] ได้มากก็จะได้ <c ff007f>[แต้มชนะ]<c> มากตามไปด้วย<br><br><green>Round คืออะไร?<c><br>กิจกรรม ARKS Ship Competition นี้ การแข่งจะถูกแบ่งออกเป็นหลาย [Round]<br>โดยภารกิจจะมีทั้ง [กำจัดศัตรูที่กำหนดให้ครบจำนวน] [ทำเควสต์ที่กำหนดให้สำเร็จ] เป็นต้น<br>ซึ่งผู้เล่นจะได้ของรางวัลตอบแทนเมื่อสามารถทำได้ครบตามเงื่อนไข<br><br><green>ของรางวัลเป็นอะไรบ้าง?<c><br><yellow>[Star<pict sb_star_icon><yellow>]<c>......สามารถนำไปแลกเป็นไอเทมได้ที่ Arkma Shop<br><yellow>[Contribution Point]<c>......คือแต้มสำหรับเพิ่มอันดับให้กับสีของตัวเอง"""
text03#0,"""<yellow>แพ้ชนะวัดกันที่ตรงไหน?<c><br><br>เมื่อการแข่งขันแต่ละ [Round] จบลง [Contribution Point] ที่ผู้เล่นในสีนั้นๆ<br>ทำได้ทั้งหมดจะถูกรวมเข้าด้วยกันเพื่อทำการจัดอันดับ และสีที่สามารถเก็บ<br> [Contribution Point] ได้มากจะได้รับ <c ff007f>[แต้มชนะ]<c> มากตามไปด้วย<br><br>โดยที่ 1 จะได้ 5 แต้ม ที่ 2 ได้ 4 แต้มตามลำดับ และเมื่อการแข่งขัน [Round] สุดท้ายจบลง<br>สีที่มี <c ff007f>[แต้มชนะรวม]<c> <yellow>มากที่สุดจะเป็นสีที่ชนะเลิศ<c><br><br>หลังจบแต่ละ [Round] จะมีการ [ประกาศผล] ที่ Giant Monitor บริเวณ Shop Area<br>ขอให้ผู้เล่นมารวมตัวกันเพื่อฟังการประกาศผลไปพร้อมกันได้ที่นี่<br><br>หลังการ [ประกาศผล Round สุดท้าย] จบลง ผู้เข้าร่วมจะได้รับ Star<pict sb_star_icon> <br>และมีสิทธิ์แลกของรางวัลพิเศษที่ Arkma Shop ตามอันดับผลงานของสีตัวเอง<br>โดยสีที่ได้อันดับสูงกว่า ของรางวัลพิเศษที่สามารถแลกได้ก็ยิ่งล้ำค่ามากตามไปด้วย!"""
text04#0,"""<yellow>เกี่ยวกับเมนู<c><br><br>เมนูที่เกี่ยวกับกิจกรรม ARKS Ship Competition แบ่งได้ออกเป็น 2 ประเภทใหญ่ๆ<br><br><green>เมนูหลัก<c><br>ผู้เล่นสามารถตรวจสอบเงื่อนไขของ Round ปัจจุบัน หรือดูจำนวน Star<pict sb_star_icon> ที่ครอบครองอยู่ได้ทาง<br>[เควสต์] > [Event ในขณะนี้] > [ARKS Ship Competition]<br><br><green>ARKuma Menu<c><br>เมื่อคุยกับ Arkma จะสามารถดูผลงานของ Round ที่ผ่านมา <br>หรือเช็ค <c ff007f>[แต้มชนะรวม]<c> ที่สีตัวเองทำได้ในขณะนั้น<br>รวมถึงใช้งาน Arkma Shop เพื่อนำ Star<pict sb_star_icon> ที่มีมาแลกเป็นของรางวัลได้อีกด้วย"""
text05#0,"""<yellow>รายละเอียดอื่นๆ <c><br><br><green>[Round Boost]<c><br>หลังการประกาศผลของแต่ละ Round จบลง สีที่อยู่อันดับสูงกว่า<br>จะได้รับ Boost ประเภทเพิ่ม XP หรือ Rare Drop<br>ส่วนสีที่ได้อันดับต่ำกว่าจะได้รับ Boost ประเภทเพิ่ม <br>Contribution Point เพื่อให้สามารถตีตื้นได้ใน Round ต่อไป!<br><br><green>ข้อควรระวังเมื่อต้องการย้าย Ship<c><br>หากทำการย้าย Ship ระหว่างอยู่ในระยะเวลากิจกรรม <br>ผู้เล่นจะไม่สามารถโอน Star<pict sb_star_icon> หรือ Contribution Point ไปด้วยได้<br><br>*ผู้เล่นสามารถเรียกดูคำแนะนำที่ผ่านมาทั้งหมดนี้อีกครั้งได้ที่หัวข้อ<br>[ระบบ] > [ข้อมูล] > [Tutorial]"""
text01#1,"""「アークスシップ対抗戦」について説明します。<br><br>アークスシップ対抗戦は、<yellow>期間限定で開催されるイベント<c>です。<br>全シップを「赤ラッピーグループ」「青ラッピーグループ」など<br>いくつかのグループに分け、それぞれ<c ff007f>「勝ち点」<c>を競います。<br><br>最終的に、<yellow>最も<c ff007f>「勝ち点」<yellow>が高かったグループ<c>が優勝です。<br><br>このイベントは、<c ffa800>「アークマ」<c>がナビゲーターを務めます。<br>アークマにアクセスすることで、現在の目標や順位を確認できたり、<br><yellow>入手した「スター<pict sb_star_icon><yellow>」で賞品を購入<c>できます。"""
text02#1,"""<yellow>■何をすればいいの？<c><br>このイベントでは、各プレイヤーは「ラウンド目標」を次々と達成し、<br>報酬の<yellow>「スター<pict sb_star_icon><yellow>」<c>と<yellow>「貢献ポイント」<c>を獲得していきます。<br>貢献ポイントの多いグループほど、最後に高い<c ff007f>「勝ち点」<c>を得ます。<br><br>\u3000<green>・ラウンド目標とは<c><br>\u3000\u3000アークスシップ対抗戦は、複数の「ラウンド」で構成されています。<br>\u3000\u3000各ラウンドには「龍族を○匹倒せ」「特定クエストのクリア」などの<br>\u3000\u3000「ラウンド目標」が設定されており、達成すると報酬がもらえます。<br><br>\u3000<green>・ラウンド目標達成でもらえる報酬<c><br>\u3000\u3000<yellow>「スター<pict sb_star_icon><yellow>」<c>……アークマのショップで賞品を購入するための通貨<br>\u3000\u3000<yellow>「貢献ポイント」<c>……所属グループの順位を上げるポイント"""
text03#1,"""<yellow>■勝ち負けのルールについて<c><br><br>ラウンド終了ごとに、参加者全員の「貢献ポイント」が集計され、<br>このポイントが多いグループ順に<c ff007f>「勝ち点」<c>が付与されます。<br><br>１位は５点、２位は４点という具合で、最終的に全ラウンドが終了した<br>時点で<c ff007f>「累計勝ち点」<c>が<yellow>最も高かったグループが優勝<c>となります。<br><br>ラウンド終了後、ショップエリアにある巨大モニターで「結果発表」が<br>行われますので、アナウンスがあったらみんなで集まりましょう！<br><br>全ラウンドが終了して「最終結果発表」が終わると、順位報酬として<br>参加者にスター<pict sb_star_icon>が渡され、アークマのショップに追加賞品が並びます。<br>順位に応じて賞品が良くなりますので、上位目指して頑張りましょう！"""
text04#1,"""<yellow>■メニューについて<c><br><br>アークスシップ対抗戦に関するメニューは、大きく２つあります。<br><br>\u3000<green>・メインメニュー<c><br>\u3000\u3000「クエスト」＞「開催中イベント」＞「アークスシップ対抗戦」で<br>\u3000\u3000あなたの現在の所持スター<pict sb_star_icon>数や、開催中のラウンド情報で<br>\u3000\u3000現在の「ラウンド目標」などを確認できます。<br><br>\u3000<green>・アークマメニュー<c><br>\u3000\u3000アークマに話しかけた時のメニューからは、過去のラウンド情報や<br>\u3000\u3000現在の<c ff007f>「累計勝ち点」<c>情報を確認できます。<br>\u3000\u3000スター<pict sb_star_icon>を使用し、賞品を購入するショップもこちらです。"""
