name01#0,"""เกี่ยวกับ [ควบคุมตัวละคร]"""
name01#1,"""『キャラクター操作』について"""
text01#0,"""อธิบายเกี่ยวกับ [ควบคุมตัวละคร]"""
text02#0,"""ท่านสามารถบังคับตัวละครได้ดังนี้<br><br>[กรณีที่ใช้ Keyboard & Mouse]<br>เดินหน้า: <%MoveForward><br>ถอยหลัง: <%MoveBack><br>ขวา: <%MoveRight><br>ซ้าย: <%MoveLeft><br><br>[กรณีที่ใช้ Gamepad]<br>บังคับด้วยคันโยกซ้าย"""
text03#0,"""การควบคุมกล้องจะควบคุมได้ดังนี้<br><br>[กรณีที่ใช้ Keyboard & Mouse]<br>ขยับเมาส์<br><br>[กรณีที่ใช้ Gamepad]<br>บังคับด้วยคันโยกขวา"""
text04#0,"""ท่านสามารถกระโดดด้วย <%Jump>"""
text05#0,"""ท่านสามารถโจมตีธรรมดาได้ด้วย <%NormalAttack>"""
text06#0,"""ท่านสามารถใช้ Photon Move หรือ Photon Magic ได้ด้วย <%PhotonArts><br>หากโจมตีธรรมดาหรือ Photon Move ได้ถูกจังหวะ <br>ก็จะสามารถปล่อย [Perfect Strike] ที่รุนแรงออกมาได้"""
text07#0,"""ท่านสามารถหลบการโจมตีได้ด้วย <%Avoid>"""
text08#0,"""ท่านสามารถเก็บไอเทมได้โดยกด <%Access> <br>ซึ่งหากกดปุ่ม <%Access> ค้าง ก็จะสามารถเก็บไอเทมแบบต่อเนื่องได้"""
text09#0,"""การใช้ไอเทมที่ติดตั้งเอาไว้อยู่ใน Sub-Palette<br>ให้เลื่อนเคอร์เซอร์ไปยังไอเทมที่ต้องการใช้ และกดปุ่ม <%SubPalette> เพื่อใช้<br><br>เลื่อนเคอร์เซอร์ไปทางซ้าย: <%SubPaletteLeft><br>เลื่อนเคอร์เซอร์ไปทางขวา: <%SubPaletteRight><br>ใช้: <%SubPalette>"""
text01#1,"""チュートリアル<br>『キャラクター操作』<br>について説明します。"""
text02#1,"""キャラクターの移動は、以下の操作で行います。<br><br>【キーボード&マウスの場合】<br>前：<%MoveForward><br>後：<%MoveBack><br>左：<%MoveLeft><br>右：<%MoveRight><br><br>【ゲームパッドの場合】<br>左スティック操作"""
text03#1,"""カメラの操作は、以下の操作で行います。<br><br>【キーボード&マウスの場合】<br>マウスを動かす<br><br>【ゲームパッドの場合】<br>右スティック操作"""
text04#1,"""ジャンプは<%Jump>で行います。"""
text05#1,"""通常攻撃は<%NormalAttack>で行います。"""
text06#1,"""フォトンアーツやテクニックの使用は<%PhotonArts>で行います。<br>タイミングよく通常攻撃やフォトンアーツを行うと、<br>強力な「ジャストアタック」を繰り出すことが出来ます。"""
text07#1,"""緊急回避は<%Avoid>で行います。"""
text08#1,"""アイテムは<%Access>を押すことで拾うことが出来ます。<br>そのまま<%Access>を長押しすると、連続でアイテムを拾うことも可能です。"""
text09#1,"""サブパレットに登録されたアイテム等を使用するには<br>使用したいアイテムにカーソルを合わせ、<%SubPalette>で使うことが出来ます。<br><br>カーソル左へ：<%SubPaletteLeft><br>カーソル右へ：<%SubPaletteRight><br>使用：<%SubPalette>"""
