text01#0,"""หนึ่งในอาวุธที่ Hunter นิยมมากที่สุดคือ Wired Lance"""
text02#0,"""มันเป็นอาวุธที่มีระยะทำการยาวและมีความสามารถ<br>หลายด้าน มันเป็นอาวุธที่มีเอกลักษณ์เป็นพิเศษที่<br>สามารถโจมตีและวางกับดักด้วยการใช้อาวุธนี้"""
text03#0,"""ทางที่ดีที่สุดที่จะเรียนรู้วิธีการใช้<br>คือคว้ามันออกไปลุยเลย!"""
text04#0,"""บังเอิญว่าแถวนี้มี Wired Gain อยู่พอดี<br>ลองเอาไปสู้กับพวกมันดูซิ จะได้เป็นการฝึกด้วยไง"""
text05#0,"""Wired Lance"""
text06#0,"""Wired lance เป็นอาวุธระยะประชิดที่สามารถยืดหรือหดได้ตามความต้องการ<br>ช่วยให้จับและโยนศัตรูได้"""
text07#0,"""ลองใช้การโจมตีด้วย Wired Lance แบบพื้นฐานพร้อมกับ Photon Move<br><br>Wired Lance เป็นอาวุธที่มีความยืดหยุ่นที่ท่านสามารถวิ่งวนล้อมศัตรู<br>แล้วโจมตีเป็นวงกว้างเพื่อสร้างความได้เปรียบในการต่อสู้<br>ท่านสามารถใช้ Wired Lance ในการโยนศัตรูขนาดกลางหรือเล็กในการโจมตีได้เช่นกัน"""
text01#1,"""ハンターの得意武装の一つに<br>ワイヤードランスというものがある。"""
text02#1,"""リーチが長く、変幻自在。<br>相手を捕縛し、攻撃に利用することも<br>出来る。非常にユニークな武装だ。"""
text03#1,"""基本的な扱い方は習うより慣れろ<br>触ってみた方が習得も早いだろう。"""
text04#1,"""ここにちょうど<br>ワイヤードランスが一本余っている。<br>これを使って少し練習してくるといい。"""
text05#1,"""『ワイヤードランス』について"""
text06#1,"""武器「ワイヤードランス」について、説明します。<br><br>ワイヤードランスは、伸縮自在のワイヤーを伸ばし<br>敵を掴んで投げ、叩き付ける攻撃を得意とする打撃武器です。"""
text07#1,"""ワイヤードランス系の基本攻撃と<br>フォトンアーツの動きを確認してみましょう。<br><br>伸縮自在のトリッキーな動きで敵を翻弄しつつ<br>最大の攻撃範囲を活かした広範囲攻撃と<br>投げ技により中型以下の敵を無効化することも可能です。"""
