Title#0,"""特別突破訓練：Episode2"""
Explanation#0,"""本任務は、VR空間にて行う<br>制限時間内にエリアの最奥を目指す<br>走破型の訓練である。<br>アークスが経験した様々な事象から<br>ダークファルス【敗者】の出現時軸を中心に<br>象徴的な障害を選んで再構築した。<br>各員の能力を最大限引き出し、突破せよ。<br>――――――――――――――――――――<br>制限時間/１５分<br>最大与ダメージ制限/９９９９９９"""
SimpleExplanation#0,"""各惑星に現れた敵を撃退せよ！"""
NpcComMsg1#0,"""これより、特別訓練を始めますー。<br>みなさん、準備はいいですかー？"""
NpcComMsg2#0,"""制限時間いっぱい、最終エリア目指して<br>突っ走っていきましょうー！<br>でも、難易度高めなのでご注意を。"""
NpcComMsg3#0,"""それでは、転送開始しますー！<br>頑張ってくださいねー！"""
Area0S#0,"""海岸 エリア1"""
Area0L#0,"""惑星ウォパル 海岸 エリア1"""
Area1S#0,"""海岸 エリア2"""
Area1L#0,"""惑星ウォパル 海岸 エリア2"""
Area2S#0,"""採掘場跡エリア3"""
Area2L#0,"""惑星リリーパ 採掘場跡エリア3"""
Area3S#0,"""マザーシップ内部エリア4"""
Area3L#0,"""侵食マザーシップ マザーシップ内部エリア4"""
Area4S#0,"""????"""
Area4L#0,"""????"""
a1#0,"""特定のクライアントオーダーのクリア"""
a2#0,"""特定のクライアントオーダーのクリア"""
a3#0,"""スーパーハード受注許可証の所持"""
a4#0,"""スーパーハード受注許可証の所持"""
