un_044020_0001#0,"""A.P.241/？/？/？"""
un_044020_0010#0,"""あ、<%me>！<br>ちょうど<%me>の話を<br>してたところなんだ、こっち来てよ！"""
un_044020_0020#0,"""センパイの話題にセンパイを巻き込むのか……<br>恐れを知らないな、ヒツギは。"""
un_044020_0030#0,"""そうはいっても、イオだって<br><%me>に会いたいって<br>思ってたんでしょ？\u3000顔に出てるよ。"""
un_044020_0040#0,"""む……"""
un_044020_0050#0,"""……そ、そんなことよりもヒツギはどうして<br>センパイのことを呼び捨てで呼んでるんだ？"""
un_044020_0060#0,"""ん、あれ？\u3000そういえば……？<br>初めて会ったときは、シエラも含めて<br>「さん」付けしてた気がするんだけど……"""
un_044020_0070#0,"""……いつのまに取れちゃったんだろう。<br>とっさに叫んだ時の勢いのまま、とかかな？"""
un_044020_0080#0,"""おれたちはお互い呼び捨てってことにしたけど<br>センパイには敬意を払った方がいいんじゃないか？<br>命の恩人でもあるんだろ？"""
un_044020_0090#0,"""確かに、イオの言うとおりかも……<br>……じゃあ、決めてもらおう！"""
un_044020_0100#0,"""決めてもらう？"""
un_044020_0110#0,"""<%me>が、あたしに<br>どう呼んでもらいたいか、選んで！"""
un_044020_0120#0,"""でもさ、「さん」っていうのも<br>今更だし、ちょっと弱いよね……<br>ここは「様」とか「王」とかのほうが……？"""
un_044020_0130#0,"""……いったいヒツギにとってセンパイは<br>どういった存在なんだ、それ。"""
un_044020_0140#0,"""１．「様」がいい"""
un_044020_0150#0,"""２．「王」がいい"""
un_044020_0160#0,"""３．「センパイ」がいい"""
un_044020_0170#0,"""なるほど。「様」かぁ。<br><%me>様！"""
un_044020_0180#0,"""あれ、これなんか聞いたことない？"""
un_044020_0190#0,"""……カトリさんだな。"""
un_044020_0200#0,"""わかった、王ね。<br>我が王<%me>！<br>とか呼べばいい感じ？"""
un_044020_0210#0,"""……流石に恥ずかしくないか？"""
un_044020_0220#0,"""そう？<br>中世みたいであたしは好きだけど。"""
un_044020_0230#0,"""ちょっ……！？"""
un_044020_0240#0,"""<%me>センパイ！<br>ってこと？\u3000ちょっとマニアックな感じ。"""
un_044020_0250#0,"""い、いや、そんなことないぞ！<br>センパイは、センパイだ！"""
un_044020_0260#0,"""とはいえ、ちょっとヘンかな。<br>となるとさん付けだけど……<br><%me>さん、かあ。"""
un_044020_0270#0,"""……言っちゃ悪いけど、今更感があるな。"""
un_044020_0280#0,"""ふん、もういいよーだ。<br>今まで通り、呼び捨てで呼ぶから。"""
