Title#0,"""海岸地域生態調查"""
Explanation#0,"""在沃帕爾行星的海岸區域<br>棲息著被稱為海王種的敵性原生生物<br>出沒。受到達卡影響<br>其對ARKS的敵意非常強烈。<br>ARKS各成員請在準備完成後儘速出擊。<br>擊退防礙調查的海王種<br>調查沃帕爾行星的生態。<br>――――――――――――――――――――<br>得到【200】任務點數就算成功<br>主要在擊破海王種時可獲得追加點數"""
Title#1,"""海岸地域生態調査"""
Explanation#1,"""惑星ウォパルの海岸エリアにて<br>海王種と呼称される原生の敵性存在が<br>確認されている。ダーカーの影響からか<br>アークスに対する敵愾心も非常に強い。<br>アークス各員は、準備が出来次第出撃。<br>調査の妨げとなっている海王種を撃退し<br>惑星ウォパルの生態を調査せよ。<br>――――――――――――――――――――<br>クエストポイント【200】達成でクリア<br>主に海王種の撃破でポイント獲得"""
SimpleExplanation#0,"""擊退海王種<br>獲得任務點數！"""
SimpleExplanation#1,"""海王種を撃退し<br>クエストポイントをためろ！"""
a1#0,"""這是一個測試。"""
a2#0,"""這是一個測試。"""
a3#0,"""持有超級困難模式受理許可證"""
a1#1,"""特定のクライアントオーダーのクリア"""
a2#1,"""特定のクライアントオーダーのクリア"""
a3#1,"""スーパーハード受注許可証の所持"""
