Begin#0,"""เริ่ม 5008"""
Success#0,"""สำเร็จ 5008"""
Failure#0,"""ล้มเหลว 5008"""
Dead#0,"""ตนเองเสียชีวิต 5008"""
BuddyDead#0,"""Partner เสียชีวิต 5008"""
Evolution#0,"""พัฒนา 5008"""
Begin#1,"""開始5008"""
Success#1,"""成功5008"""
Failure#1,"""失敗5008"""
Dead#1,"""自分死亡5008"""
BuddyDead#1,"""相手死亡5008"""
Evolution#1,"""発展5008"""
Begin#2,"""/mn9 /ci2 3 เนื่องจากข้ามีภารกิจเร่งด่วน<br>ข้าจึงอยากจะกำจัดศัตรูให้หมดโดยเร็วที่สุด<br>แม้อาจทำให้เจ้าเสียเวลา แต่ก็ช่วยข้าทีเถอะ"""
Success#2,"""/mn15 /ci2 2 t5 Jan เรื่องพูดคุยน่ะเอาไว้เท่านั้นแหละ<br>พวกเรายังมีภารกิจเหลืออยู่อีก ข้าขอขอบใจ<br>ในความช่วยเหลืออันรวดเร็วของพวกเจ้าด้วย"""
Failure#2,"""/mn4 ......ชิ มากกว่านี้ไม่ไหวแล้วงั้นรึ<br>เรื่องปฏิบัติภารกิจให้ลุล่วงต้องมาก่อน<br>Jan พวกเราต้องถอนตัวกันแล้ว!"""
Dead#2,"""/mn3 การที่ข้าต้องมาเข่าทรุดแตะพื้นกับอีแค่การต่อสู้<br>ระดับนี้...... แสดงว่าข้าเองก็อ่อนแอลงเช่นกันสินะ"""
BuddyDead#2,"""/mn20 /ci3 2 Jan เสร็จพวกมันไปแล้วงั้นรึ......<br>เอาเถอะ มันเป็นเรื่องของอายุสินะ<br>เจ้าพักตรงนั้นไปก่อนซักครู่เถอะ"""
Begin#3,"""/mn9 /ci2 3 急ぎの任務があるため<br>迅速に敵を片づけたい。<br>手間をかけるが、助力を頼む。"""
Success#3,"""/mn15 /ci2 2 t5 ジャン、話はそこまでだ。<br>任務がまだ残ってる。<br>君たちの素早い救援に感謝しよう。"""
Failure#3,"""/mn4 ……ちっ、これ以上は厳しいか。<br>任務達成が最優先だ。<br>ジャン、私たちは撤退だ！"""
Dead#3,"""/mn3 この程度の交戦で膝をつくことに<br>なろうとは……私も衰えたものだ。"""
BuddyDead#3,"""/mn20 /ci3 2 ジャンがやられたか……<br>まあ、寄る年波にはというやつだな。<br>しばらく休んでいるといい。"""
