name010#0,"""ボージ"""
text010_A#0,"""おう！\u3000この町はどうだ？<br>いいとこだろ？"""
text020_A#0,"""案内してほしかったら、<br>いつでも言ってくれよな。"""
text010#0,"""おう！\u3000あんたか。<br>え？\u3000俺が探してるって聞いた？"""
text020#0,"""そうなんだよ。歓迎のプレゼントをあげたくてさ。<br>なにか、良い物がないか考えていたんだ。"""
text030#0,"""で、とびきりのプレゼントを思いついたんだが、<br>どこにしまったか、わからなくなっちまってな……。"""
text040#0,"""ずいぶん前に、アイテムコンテナに<br>しまったのは覚えてるんだが……。"""
text050#0,"""どのコンテナだったかなあ……。<br>うーん……。"""
text060#0,"""悪い！\u3000なんか、本末転倒なんだが、<br>探すの手伝ってくれないか？"""
text010_B#0,"""どうだ？\u3000見つかりそうか？"""
text010_C#0,"""町はもうじゅうぶん見て回ったか？<br>それなら一度、ガロアのところへ戻るといいかもな。"""
text010_D#0,"""それじゃ、さっそく装備してみてくれ。"""
textR01#0,"""……って、あれ？<br>なんだ、もう持ってるじゃないか！"""
textR02#0,"""渡したかったのはその防具だよ！<br>さっそく装備してみてくれよ。"""
