11_voice_NPC_5026_104#0,"""ไม่มีอะไรดีกว่าฆ่าศัตรูและทำให้พวกมันย่ำแย่<br>แต่เมื่อข้าทำงานกับผู้อื่น <br>ข้าไม่สามารถทำสิ่งนั้นได้ตลอดเวลา"""
text02#0,"""นั่นคือส่วนที่ข้าไม่ชอบเกี่ยวกับทีมเวิร์ค<br>แต่การรุมศัตรูกับคนอื่นก็สนุกดีเหมือนกัน!"""
text03#0,"""ความจริงแล้ว <br>ข้าอยากจะทำอย่างนั้นตอนนี้เลย <br>มาร่วมกับข้าไปทรมาณศัตรูกันมั้ย?"""
text04#0,"""แล้วเราควรจะไปไหน?? อืม...<br>ภารกิจ [Cauldron Probe] ก็ดีนะ<br>มีศัตรูที่แข็งแกร่งเยอะเลย"""
text05#0,"""โอเค โอเค ไปหาความสนุกด้วยปืนกัน!"""
text100#0,"""ร่วมเดินทางกับ Partner Characters"""
text101#0,"""<yellow>*Client Order นี้ ท่านจะมี Risa และจะง่ายมากขึ้น ถ้าท่านตั้งพาสเวิร์ดในเมนู [ใส่ข้อมูลปาร์ติ้]<br>แล้วเลือก [จำกัดการร้องขอจากปาร์ตี้อื่น] เพื่อรับมัน<c>"""
11_voice_NPC_5026_104#1,"""他のひとと一緒だと、とどめを<br>刺せない時とかもあるので<br>本当はあまり好きではないのです。"""
text02#1,"""ですけどですけど、みーんなで協力して<br>遮二無二執拗に狙うというのも<br>それはそれは楽しいことなんです。"""
text03#1,"""リサ、ひさしぶりにそういうこと<br>やりたくなっちゃいました。<br>ですから、一緒にやりましょう。"""
text04#1,"""そうですねえ、場所は<br>「火山洞窟探索」がいいですねえ。<br>あそこの敵さん、強いですからねえ。"""
text05#1,"""ではでは、ではではでは。<br>楽しむために参りましょうか。"""
text100#1,"""『パートナーキャラクターの同行について』"""
text101#1,"""<yellow>※リサを同行させるこのクライアントオーダーは<br>\u3000クエスト受注時の<br>\u3000「パーティー情報入力メニュー」でパスワードを設定し<br>\u3000「他パーティーからのマルチプレイ要求も制限」を<br>\u3000選択することで、達成しやすくなります。<c>"""
