un_062080_0010#0,"""ひどいですわ、ひどいですわ！<br>納得いきませんわ！"""
un_062080_0020#0,"""駄々をこねるな。<br>……ああ、<%me>か。<br>カトリのことは気にするな。"""
un_062080_0030#0,"""<%me>様！<br>どうしてファントムは一切宣伝せずとも<br>あんなに人気があるのです！？"""
un_062080_0040#0,"""ハッ！\u3000まさか……<br>絶対令で、ファントムになれー！<br>と無理やり……"""
un_062080_0050#0,"""妄言のカトリは捨て置くとして。"""
un_062080_0060#0,"""とうとうおかしな二つ名を<br>つけられてしまいましたわ！"""
un_062080_0070#0,"""たしかに、一切宣伝せずに<br>どうクラスの認知度を高めているのか<br>いささか疑問ではある。"""
un_062080_0080#0,"""私やサガさんだって<br>一生懸命、誠心誠意宣伝をして<br>バウンサーを普及しましたのに！"""
un_062080_0090#0,"""それなのに、ずるいですわ！<br>貴方様はどうお考えですの？"""
un_062080_0100#0,"""ファントムが魅力的だから"""
un_062080_0110#0,"""なんとなくカッコイイから"""
un_062080_0120#0,"""魅力ならバウンサーもあります！<br>それなのに、一切努力もせずに<br>魅力をにじませるだなんて！"""
un_062080_0130#0,"""なんとなく！<br>そんなあいまいな理由で！？"""
un_062080_0140#0,"""納得できませんわー！<br>ヒーローを普及する時だって<br>ストラトスさんがどれだけ……"""
un_062080_0150#0,"""……宣伝？\u3000くだらんな。"""
un_062080_0160#0,"""いいいいつの間に私の背後に！？"""
un_062080_0170#0,"""宣伝に乗せられ、軽い気持ちで<br>《亡霊》になるような奴は、いずれ<br>後悔と共に身を滅ぼすだろう……"""
un_062080_0180#0,"""私に直前まで気取らせないとは<br>相当な手練れ……"""
un_062080_0190#0,"""お前が、ファントムの提唱者……<br>名は、キョクヤと言ったか。"""
un_062080_0200#0,"""貴方ですのね！<br>まったく宣伝をしないだなんて<br>何を企んでいますの！？"""
un_062080_0210#0,"""はっ！\u3000まさか……<br>宣伝しないことを逆手にとって<br>アークスの興味を引く作戦！？"""
un_062080_0220#0,"""……くだらんな。"""
un_062080_0230#0,"""くだらなくありませんわ！<br>クラスの普及は大切です！"""
un_062080_0240#0,"""ストラトスさんだって<br>頑張って宣伝したからこそ……<br>ヒーローが普及したんですのよ！"""
un_062080_0250#0,"""……それがくだらんと言っている。"""
un_062080_0260#0,"""ストラトスさんの頑張りを<br>くだらないだなんて、許せませんわ！"""
un_062080_0270#0,"""カトリが取り乱してすまない。<br>だが、一つ疑問がある。"""
un_062080_0280#0,"""先ほど言っていた<br>「後悔と共に身を滅ぼす」とは<br>どういう意味だ？"""
un_062080_0290#0,"""……言葉通りだ。<br>《亡霊》は綺麗事とは無縁なクラス。<br>覚悟のない奴には務まらん。"""
un_062080_0300#0,"""正義を捨てる覚悟がないまま<br>宣伝に乗せられ《亡霊》になれば……<br>いずれ後悔と絶望の中で死ぬだろう。"""
un_062080_0310#0,"""一方、“正義”では<br>解決できない問題があると気づいた者は<br>自然と《亡霊》の道にたどり着く。"""
un_062080_0320#0,"""そういう奴だけが<br>《亡霊》になればいい。<br>それだけの話だ……"""
un_062080_0330#0,"""精鋭が集えば良い、ということか。<br>ヒーローのように広く周知した後で<br>精鋭を目指す考えと違ってな。"""
un_062080_0340#0,"""……ヒーローとは、存在意義が違う。<br>“正義”では成し得ないことのために<br>《亡霊》は存在する……"""
un_062080_0350#0,"""覚悟のない連中は邪魔なだけ。<br>欲しければ、連れて行くがいい……<br>さらばだ。"""
un_062080_0360#0,"""な、な……なんて言いぐさですの！<br>俺様ですわ、傲慢ですわ！"""
un_062080_0370#0,"""あの男の強い覚悟……<br>頼もしいが、ゆえに危険でもある。<br>……お前も用心することだ。"""
un_062080_0380#0,"""はっ……！<br>まさか、あの俺様な傲慢さが<br>人気の秘密！？"""
un_062080_0390#0,"""こうしてはいられませんわ！<br>さっそく私も傲慢さを極めなければ！"""
un_062080_0400#0,"""……ますます誰も寄り付かなくなるぞ。"""
