IncidentName#0,"""防衛莉莉芭族人！"""
TrialBeginMsg#0,"""保護身陷險境的<br>莉莉芭族人！"""
TrialAbstract#0,"""保護身陷險境的<br>莉莉芭族人！"""
NpcComOnBegin#0,"""啊啊！　爆炸了......<br>雖然其中一個回來了<br>但另一個到哪去了......？"""
NpcComOnAfterBegin#0,"""那個小傢伙好像在找失去下落的<br>同伴呢。<br>助牠一臂之力吧！"""
NpcComOnFirstPoint#0,"""牠好像知道同伴在哪裡耶？<br>跟著牠走吧。"""
NpcComOnPinch#0,"""敵人正在靠近莉莉芭族人！<br>拯救莉莉芭族！"""
NpcComOnWalk1#0,"""/face2 好可愛喔......<br>啊，沒、沒有，沒什麼！"""
NpcComOnWalk2#0,"""嗯......那種體型不太適合這顆<br>行星的環境呢......<br>這些小傢伙的生態真是不可思議。"""
NpcComOnWalk3#0,"""/face2 看起來好像鬆鬆軟軟的呢......<br>啊，沒、沒有，沒什麼！"""
NpcComOnSuccess#0,"""/face2 終於跟同伴會合了呢。<br>辛苦了。"""
NpcComOnFailure#0,"""/face4 啊......跑掉了。<br>很遺憾，到此為止了。"""
